grammatical	ungrammatical
ù ù S F j à Y N Q s n l t B a B P ò u V	ù ù S F j à Y N Q s n l t B A B P ò u V
ǔ B V è á q ǎ a n D U E g y ǔ H G s M e	f B V è á q ǎ a n D U E g y ǔ H G s M e
á L ú g p L L K Q a V á W c L Q K R m J	á L ú g p L L K Q L V á W c L Q K R m J
à W à v X h B U ǒ J è l B x g a t p l F	à W à e X h B U ǒ J è l B x g a t p l F
ǎ u v C F y à m v W L I O n a r à ó c Q	ǎ b v C F y à m v W L I O n a r à ó c Q
è è a e K ǔ z ó o f ú s c á W ò n è é C	è è R e K ǔ z ó o f ú s c á W ò n è é C
ě J x W è a u á n C v é e x X E s U A ǒ	ě b J x W è a u á n C v é e x X E s U A ǒ
ó a D à W e h Y K p Z L ò H c l T o é Y	c a D à W e h Y K p Z L ò H c l T o é Y
ǒ è L N Q J ò L Y a é v ó l ǎ d D y W l	a ǒ è L N Q J ò L Y a é v ó l ǎ d D y W l
ú ú U H R Y Q A S ó ú ǎ m G a S r H I h	ú ú U c R Y Q A S ó ú ǎ m G a S r H I h
A P ú é N è w à U Y J a U k I m g j P K	A P ú é N è w à U Y J ǎ U k I m g j P K
B V t J ú A I A s j t w ò u j m m à a l	B V t J ú A I A s j t w ò a u j m m à a l
C i B a O ǒ p C H j U J V c B U M I w S	C i B a O ǒ p C H j U a V c B U M I w S
E ó M N è O i S a u F M C p X z ǒ á U ǔ	E ó M N è e i S a u F M C p X z ǒ á U ǔ
F J N a F B W j A Z c j S e g ě U R X P	F J N à F B W j A Z c j S e g ě U R X P
G S C B K ǔ à ù s W k l s X E s a ǔ h M	G S C B K ǔ à c s W k l s X E s a ǔ h M
H j ǒ a S C z m x S f á j F W j W h A H	H j ǒ a S C a z m x S f á j F W j W h A H
J ě i h N R h k s l E k ó L r i C C a G	J ě i h N R h k d s l E k ó L r i C C a G
K W n U ù a ú B p G g k à e T u v D G c	K W n U d a ú B p G g k à e T u v D G c
L q a á r I G K O U m g à p é v n g ù p	L q E á r I G K O U m g à p é v n g ù p
M y é N E á Y h a á x A w X J l Q c f U	M y é N E á Y h a a á x A w X J l Q c f U
O A P k G a ó B X N ǔ X ù t z j é d ǎ k	O A P k G a ó B X N ǔ X ù t z j é d ǎ d
P E F M r q X A t z j v g r k Z A a ě ǔ	P E F M r q X A t z j v g r k Z c A a ě ǔ
Q ú s I ù I a ǒ t b à B e u R H g W a y	Q d ú s I ù I a ǒ t b à B e u R H g W a y
R a C O t m é x F ě M p à b l S J j Q L	R U C O t m é x F ě M p à b l S J j Q L
T à C t a é n v X o o V E N m y y h W p	T b à C t a é n v X o o V E N m y y h W p
U S K I N ě ǒ è V u P ě F X E a l t J K	U S K I N ě ǒ è V u P ě F X E Z l t J K
V v r ò M U a N r Z è h Q ú L S ǒ U C f	V v r ò M U a N r Z è h Q ú f S ǒ U C f
X é t a à F n y J y M ú r G T à f j é ò	X é t y à F n y J y M ú r G T à f j é ò
Y R D y t ò ǎ ó g à à W à t g à J H a á	Y R D y f t ò ǎ ó g à à W à t g à J H a á
Z a F h p F Z G f z ò z R Y h o c l à ù	Z a F h p F Z a f z ò z R Y h o c l à ù
a ò N E G D ǎ ò O h W E V K è V o n ǎ O	a ò N E G D ǎ ò O a W E V K è V o n ǎ O
a P t ǎ p e p X é t X à ǒ m w P L a ò L	a P t ǎ p e p X é t X à ǒ m e w P L a ò L
a j i x Z G p R j X I Y c d a f ǎ T d J	s j i x Z G p R j X I Y c d a f ǎ T d J
g à ǔ A a T G N á i h e q C d á P S l x	g à ǔ A L T G N á i h e q C d á P S l x
h O ě s l B a O z x ǎ n j l ǔ P b s U F	f h O ě s l B a O z x ǎ n j l ǔ P b s U F
i W K q q g V j o Q z ǎ J q X à ǒ F a k	i W K q q g V j o Q z ǎ J q X à ǒ c a k
j j j ǎ ú F à a e c l e t p U T f ǔ ò P	j j j ǎ ú F à ǔ e c l e t p U T f ǔ ò P
l B i r O s ǔ X z s L ǔ F a ú ě T e ǒ w	l e B i r O s ǔ X z s L ǔ F a ú ě T e ǒ w
m S L D s v g K w I R é w M C a w G è Z	m S L D s v g K w I R é w M c C a w G è Z
n i t H N a l ù f p R F á O J A é N M é	n i t H N F l ù f p R F á O J A é N M é
o p v y ǎ à q Y x á D a e J ě ě k I C K	o p v y ǎ c à q Y x á D a e J ě ě k I C K
q é ǒ C w N s E i w á a i f A d ò c s à	q é ǒ C w N s E f i w á a i f A d ò c s à
r P l R G r V ǒ r a K K k Q d ó ù ò D ǔ	r P l R G r V ǒ r a K K k Q d ó ù ò D ǔ d
s k è à w T ǎ W ò é Z A S U ù I a p I v	s k è à w T ǎ W ò é Z A S U ù I p p I v
u ǔ G a y á v Q u ò w ǒ ǒ q ó g w I r j	u ǔ G a a á v Q u ò w ǒ ǒ q ó g w I r j
v ǒ A W Q v à ě D R L Z g a ò ǔ A i n B	v ǒ A W Q v à ě D R L Z g V ò ǔ A i n B
w S q B i ú a Q E Y w w O ǒ ǎ f Q á L ù	w S q B i ú q Q E Y w w O ǒ ǎ f Q á L ù
x g T r E l S r u X N x a T I s ù Q S M	x g T r E l S e u X N x a T I s ù Q S M
