grammatical	ungrammatical
a a a m J a e t d g k t z A Q q z L i ǒ	ù a a a m J a e t d g k t z A Q q z L i ǒ
a a a B P ù g J W r p k X ǒ ǒ e P p o M	ě a a a B P ù g J W r p k X ǒ ǒ e P p o M
a a a D h t m D S H D k f c N D e b g R	C a a a D h t m D S H D k f c N D e b g R
a a a E P Z l v u x o N R y l ǎ A g k k	J a a a E P Z l v u x o N R y l ǎ A g k k
a a a d ó B j d L h y B q é á w R y n V	R a a a d ó B j d L h y B q é á w R y n V
a a a à f t á H e s Y o j d n a a p A a	Z a a a à f t á H e s Y o j d n a a p A a
a a a r M é f ǒ à l c g C x G ě é z I y	i a a a r M é f ǒ à l c g C x G ě é z I y
a a a à i w x G ǔ ò l y B x ù s f K ò á	p a a a à i w x G ǔ ò l y B x ù s f K ò á
a a a Y a N g C á O Z ù c l B X V á m H	x a a a Y a N g C á O Z ù c l B X V á m H
a a a o ù r á K ò b g c y L u W n F O B	à a a o ù r á K ò b g c y L u W n F O B
a a a ǒ e ù u o ù f ù ǎ I P P N D W m á	A a a ǒ e ù u o ù f ù ǎ I P P N D W m á
a a a W b r ù c J L q J q T ǒ ě ǒ C m F	I a a W b r ù c J L q J q T ǒ ě ǒ C m F
a a a H H C W F M ǎ C y o z L j z Z W I	R a a H H C W F M ǎ C y o z L j z Z W I
a a a h o ò d v z A ǎ z n G d ò l j v ò	Z a a h o ò d v z A ǎ z n G d ò l j v ò
a a a L I X s f à e x p c L é m ó à k i	a è a a L I X s f à e x p c L é m ó à k i
a a a w h à F C ù d à ó p e K R a o T c	a C a a w h à F C ù d à ó p e K R a o T c
a a a b k e á n A B é I y ǔ ǔ I A K d J	a K a a b k e á n A B é I y ǔ ǔ I A K d J
a a a ó R h Y o x u ǔ t U Q r m o á ǎ C	a R a a ó R h Y o x u ǔ t U Q r m o á ǎ C
a a a L Y G h ǒ n N q o r E d P p Z B n	a Z a a L Y G h ǒ n N q o r E d P p Z B n
a a a E X w R n ǒ N ě M V x O W L l z é	a h a a E X w R n ǒ N ě M V x O W L l z é
a a a y r w ǒ F á O O L Y E ú s L M V q	a o a a y r w ǒ F á O O L Y E ú s L M V q
a a a f T á q p s B E o è N è V g ù V z	a w a a f T á q p s B E o è N è V g ù V z
a a a s r D E N i i x E j z Z á y j è a	a ǔ a s r D E N i i x E j z Z á y j è a
a a a q u T N X C è M p S J C E ú L x i	a ò a q u T N X C è M p S J C E ú L x i
a a a ó J D i X b j i V S ò s è ò l v K	a E a ó J D i X b j i V S ò s è ò l v K
a a a ò R K X V m f d c v è a ě W F O D	a M a ò R K X V m f d c v è a ě W F O D
a a a g G b ǒ H é Q G ǔ F R X f w Q a O	a T a g G b ǒ H é Q G ǔ F R X f w Q a O
a a a g n x T r ù c f X V h W G g c à f	a a ù a g n x T r ù c f X V h W G g c à f
a a a f P c i n O M ǔ ò N e h l G c E ù	a a ó a f P c i n O M ǔ ò N e h l G c E ù
a a a ú B T Q O á i e g ǒ á i p G y X F	a a D a ú B T Q O á i e g ǒ á i p G y X F
a a a z p a u h Z X f l E ò q V U D F Q	a a L a z p a u h Z X f l E ò q V U D F Q
a a a Q ě f B G Y N T ǔ à m G t ě X j A	a a T a Q ě f B G Y N T ǔ à m G t ě X j A
a a a D c ǒ Q j i Q á Y x e q l W x S u	a a c a D c ǒ Q j i Q á Y x e q l W x S u
a a a S ú V J b s á i Z h D d á I ó a c	a a j a S ú V J b s á i Z h D d á I ó a c
a a a W U c C e q b i X e u h G Q K é Q	a a q a W U c C e q b i X e u h G Q K é Q
a a a q f D ú ǒ x X C ó ǎ r G è ǔ g ó A	a a q f D ú ǒ x X C ó ǎ r G è ǔ g ó A
a a a l z X m ǎ q I è p q l ù t A e m v	a a è l z X m ǎ q I è p q l ù t A e m v
a a a g ú k r ě U g c p k v s a b d J H	a a B g ú k r ě U g c p k v s a b d J H
a a a j h b E c l ǒ r F O D n d ǒ ǔ m U	a a K j h b E c l ǒ r F O D n d ǒ ǔ m U
a a a G P ǔ O f ò é v Z i M F t J A G p	a a R G P ǔ O f ò é v Z i M F t J A G p
a a a T h s ě N A t P R G M T ǔ G y K X	a a Z T h s ě N A t P R G M T ǔ G y K X
a a a V I q O o h j w x á u à D X ǒ S K	a a h V I q O o h j w x á u à D X ǒ S K
a a a x p v f v ù P M ǔ ó K d F i u I p	a a o x p v f v ù P M ǔ ó K d F i u I p
a a a V t A W l U ù Z è W j ě K L U b é	a a v V t A W l U ù Z è W j ě K L U b é
a a a Z X s V ù i O Y ó G o a ě u Y T I	a f a Z X s V ù i O Y ó G o a ě u Y T I
a a a H q d k X x ó f Z F b K i g ǒ F T	a n a H q d k X x ó f Z F b K i g ǒ F T
a a a i f V Z O ě S C S d P l P e q l L	a u a i f V Z O ě S C S d P l P e q l L
a a a H h q U ò M T N E e h d W ó ú S a	c a a H h q U ò M T N E e h d W ó ú S a
a a a L M X D N Y g k q H x f D ě p X M	k a a L M X D N Y g k q H x f D ě p X M
a a a ó U e x ě B é t O D ǔ s E x é D ó	r a a ó U e x ě B é t O D ǔ s E x é D ó
a a a q n z U S à g Z r P N X a c w n q i	ù a a a q n z U S à g Z r P N X a c w n q i
a a a ò i é ù U W C G G ó r ǎ v ě B Z b ù	è a a a ò i é ù U W C G G ó r ǎ v ě B Z b ù
a a a B p O x L n ě é V w H G à O ò Y ò r	D a a a B p O x L n ě é V w H G à O ò Y ò r
a a a e B N E v g y c ǒ F v j l R f Y T f	M a a a e B N E v g y c ǒ F v j l R f Y T f
a a a K u ǔ T y G m f L w L c ǔ W U ǒ C Q	T a a a K u ǔ T y G m f L w L c ǔ W U ǒ C Q
a a a G T Q y ǒ á ǔ K H G N X e Z ó C g t	c a a a G T Q y ǒ á ǔ K H G N X e Z ó C g t
a a a I N ó v ǔ S ě s t Q o t v I U y Y ù	k a a a I N ó v ǔ S ě s t Q o t v I U y Y ù
a a a a l ó V G w s D s Z L M d k z s à O	r a a a a l ó V G w s D s Z L M d k z s à O
a a a K d q T V j q S X C a T ò ó l é j z	z a a a K d q T V j q S X C a T ò ó l é j z
a a a e E G F w y C á Q c j è á ú è q V h	è a a e E G F w y C á Q c j è á ú è q V h
a a a ǒ ù Q B ǒ b c ǔ g b f Q s p é S j y	D a a ǒ ù Q B ǒ b c ǔ g b f Q s p é S j y
a a a u a M y e D z è K B ò W g k C E é k	K a a u a M y e D z è K B ò W g k C E é k
a a a á A X o K é A A G I I p t d V ò ǔ l	R a a á A X o K é A A G I I p t d V ò ǔ l
a a a F ǎ J x k N b à u D ǒ N M ǎ H à B d	Z a a F ǎ J x k N b à u D ǒ N M ǎ H à B d
a a a b x ě à W S k a è D è T i L B M ě a	a é a a b x ě à W S k a è D è T i L B M ě a
a a a l Q u i G a D ǎ f i s x á u a e N m	a B a a l Q u i G a D ǎ f i s x á u a e N m
a a a S r C Q ǒ P ò M U h P v A v N S ě è	a J a a S r C Q ǒ P ò M U h P v A v N S ě è
a a a J X f ò ò j x B ǎ ǔ ò m R A X z V K	a R a a J X f ò ò j x B ǎ ǔ ò m R A X z V K
a a a W k H n ù C n J g n D w F e U v y T	a Y a a W k H n ù C n J g n D w F e U v y T
a a a X b B H J u J R e E S W á e w I U f	a j a a X b B H J u J R e E S W á e w I U f
a a a y ú L z i X z a L ó m j ě F I J ǎ T	a o a a y ú L z i X z a L ó m j ě F I J ǎ T
a a a a D m z f m a D Z Z q ǒ é r C D à o	a w a a a D m z f m a D Z Z q ǒ é r C D à o
a a a S ǒ f P Z ě m z b L ǎ o ó C ù a y s	a à a S ǒ f P Z ě m z b L ǎ o ó C ù a y s
a a a l p ú L g W N ù ù c O ó p o è K A a	a ò a l p ú L g W N ù ù c O ó p o è K A a
a a a ǎ E F é ě E á E Y ǔ y s R g u G i à	a F a ǎ E F é ě E á E Y ǔ y s R g u G i à
a a a S o C ù b U X A u e j C Z à ù c n ò	a N a S o C ù b U X A u e j C Z à ù c n ò
a a a b v k q W u V c j F r ǔ t ě é ò U Q	a U a b v k q W u V c j F r ǔ t ě é ò U Q
a a a á X L E Z é u q Z r f z t X L á è T	a a á a á X L E Z é u q Z r f z t X L á è T
a a a u U é ù ǔ y G y f A ě è h é G h g e	a a ò a u U é ù ǔ y G y f A ě è h é G h g e
a a a S S o N r ò L M E ò F ě D a F F ǔ v	a a F a S S o N r ò L M E ò F ě D a F F ǔ v
a a a G g K F M w ó s e ǒ E é q b ǎ r ǎ ó	a a M a G g K F M w ó s e ǒ E é q b ǎ r ǎ ó
a a a p s s N U e G p u v d y C ó ó l v ù	a a T a p s s N U e G p u v d y C ó ó l v ù
a a a i O o q I Y K è J e s K q ǎ u C x x	a a b a i O o q I Y K è J e s K q ǎ u C x x
a a a o a F ò x ú V ù b y g J Q á D H Z g	a a j a o a F ò x ú V ù b y g J Q á D H Z g
a a a s ǒ U S é G z á d ǔ Y f á c O Z Q n	a a r a s ǒ U S é G z á d ǔ Y f á c O Z Q n
a a a ǔ K S Q X x á e x m ě x i U q á à a	a a z a ǔ K S Q X x á e x m ě x i U q á à a
a a a g p ǎ o D Y m G ǔ J y ǎ b q á H n T	a a é g p ǎ o D Y m G ǔ J y ǎ b q á H n T
a a a ǒ G M n ě ò J à H b u a W Y A x w I	a a B ǒ G M n ě ò J à H b u a W Y A x w I
a a a é p E g x N S k é C V ú J g ě v V A	a a I é p E g x N S k é C V ú J g ě v V A
a a a Q K B à O g Y y W è O o v á H j y C	a a P Q K B à O g Y y W è O o v á H j y C
a a a I D v á à F ǒ y B F S j F c o p L ò	a a Y I D v á à F ǒ y B F S j F c o p L ò
a a a N g t U o F a é f U ǔ Y A ù G y I M	a a h N g t U o F a é f U ǔ Y A ù G y I M
a a a B X a n ǔ A d I l M E s v c J c c ǒ	a a o B X a n ǔ A d I l M E s v c J c c ǒ
a a a W r n U P n g E v x b ě i B e i à z	a a w W r n U P n g E v x b ě i B e i à z
a a a ò x g u ù g a G à é B ǎ O P o ù J á	a e a ò x g u ù g a G à é B ǎ O P o ù J á
a a a A ǔ à r Q Q B V Q F ě U ó á l C b n	a m a A ǔ à r Q Q B V Q F ě U ó á l C b n
a a a t Z E J w Q á d J t g à h X q ò O g	a v a t Z E J w Q á d J t g à h X q ò O g
a a a t à J x z q J y c T V h ó H ǔ L g E	d a a t à J x z q J y c T V h ó H ǔ L g E
a a a ù ě T h è ǔ à s F ě á ǎ ě m S ú K è	l a a ù ě T h è ǔ à s F ě á ǎ ě m S ú K è
a a a E h ǔ I m I i K T Q k M c r Z G h a	s a a E h ǔ I m I i K T Q k M c r Z G h a
a a a j ǔ è C B m g f B R e y L o Q H K á o	ù a a a j ǔ è C B m g f B R e y L o Q H K á o
a a a è I K P ù l é X h à ǎ á j y T W á ǔ y	ě a a a è I K P ù l é X h à ǎ á j y T W á ǔ y
a a a G ó g z o g r G Z B C u J ě D s a é M	C a a a G ó g z o g r G Z B C u J ě D s a é M
a a a X é ě N D a F h O Y q h T à Q c g h x	J a a a X é ě N D a F h O Y q h T à Q c g h x
a a a S u T E à Q t N ǎ V r R K v p R ù r Q	R a a a S u T E à Q t N ǎ V r R K v p R ù r Q
a a a p L à B A ù ǔ n c ǔ U V d é h è ě ù g	Z a a a p L à B A ù ǔ n c ǔ U V d é h è ě ù g
a a a W w á i ó l R e p ó b j ǎ g Q J H f H	h a a a W w á i ó l R e p ó b j ǎ g Q J H f H
a a a v l Y y ú R g r E y q I t x r ǔ M m A	o a a a v l Y y ú R g r E y q I t x r ǔ M m A
a a a H o é X E p P f l h m M U ú ú f ù ù Q	x a a a H o é X E p P f l h m M U ú ú f ù ù Q
a a a Q S ù à P a k O H E L ò Y f l W U Z d	à a a Q S ù à P a k O H E L ò Y f l W U Z d
a a a R D t ě m á X G Y K è e k W d ě ǔ Y K	ú a a R D t ě m á X G Y K è e k W d ě ǔ Y K
a a a A l d O Z z q C f S ǔ i ò v ù d H N F	H a a A l d O Z z q C f S ǔ i ò v ù d H N F
