grammatical	ungrammatical
ù ù ǒ j H r ǒ A a R F z u Y f L r b V T t	ù ù ǒ j H r ǒ A a R F z u Y f L r V T t
ǔ O F t a R I o j A Y ǎ ó z K b X d ú a	ǔ O F t a R I o j A Y ǎ ó z K e X d ú a
á R M B x é S e U z H a ò M à ǒ U l y b	á R M B x é S e U z H a ò M à ǒ U l y R
à b d O W Z x G V j s w I Y C b I u p c H	à b d O W Z x G V j s w I Y C b I u p H
é á V m F H W u h i ǒ b z é H I r ǒ c r K	é á V m F H W u h i ǒ b z é H I r ǒ r K
a è R é á I b D ě m ǎ v N ǎ q è q Y u E ǒ	è R é á I b D ě m ǎ v N ǎ q è q Y u E ǒ
ó ǔ S b q ù F u v L c H v P ó R ǒ l H I K	ó ǔ S q ù F u v L c H v P ó R ǒ l H I K
ò N V c R q v w S ù N P ù ǔ i F d é x u	ò N V O R q v w S ù N P ù ǔ i F d é x u
ǒ b c W j V r ú I ǎ W q X l f Q t é ě Q	ǒ b Z W j V r ú I ǎ W q X l f Q t é ě Q
ú v ǎ á R o t m ǎ a U T I E b à e h X E E	ú v ǎ á R o t m ǎ a U T I E à e h X E E
B N ǒ F f i g i U z z A L c z d ù F Y r	B N ǒ F f i g i U z z A L O z d ù F Y r
C c E ǒ e s G ǒ v J v b n c Q A M s v L M	C c E ǒ e s G ǒ v J v n c Q A M s v L M
D j u W S e D z R r X a ú ò j ù Q b D é k	D j u W S e D z R r X a ú ò j ù Q D é k
F C g D p a J h n j v N M m ú u X ǒ b z	F C g D p a J h n j v N M m ú u X ǒ u z
G M R L a ù T à e R z h ǎ j G n k m b e q	G M R L a ù T à e R z h ǎ j G n k m e q
H b a L j ǔ s W à W T B à C P J l U é Q b	H b L j ǔ s W à W T B à C P J l U é Q b
c I m d p I M K E z N e O w p è c m m y ě	I m d p I M K E z N e O w p è c m m y ě
K H c e Q L q ě e Q p e b ǒ è M W d z Q a	K H c e Q L q ě e Q p e b ǒ è M W z Q a
L a m u L x D b ě t g ǎ A r y x K L t s	L a m u L x D R ě t g ǎ A r y x K L t s
b M f L ǎ y R n d u i e p c a V D C è X x	M f L ǎ y R n d u i e p c a V D C è X x
O ò ù g ú B Z u G T R M é w ù y c q ǔ O d	O ò ù g ú B Z u G T R M é w ù y c q ǔ O
P P á q D l a g g Z b y c à ú k j C é à P	P P á q D l a g g Z y c à ú k j C é à P
Q c n b q ò F h O Q c w h t l i y K M t ò	Q c n q ò F h O Q c w h t l i y K M t ò
R s ǎ F r t a à ǔ M M w X h ǒ h è v b L	R s ǎ F r t a à ǔ M M w X h ǒ h è v t L
T H X a f v V X è j c T G h D d ó Z R O E	T H X a f v V X è j T G h D d ó Z R O E
U W C y S ó L T k s q a B h ǒ ǒ E g b T	U W C y S ó L T k s q X B h ǒ ǒ E g b T
V o ǎ N N E e u u a H r d ú a h b R L o	V o ǎ N N E e u u a H r d ú a h V R L o
X à s c ǔ U N C u O C Z j M ǔ r ǔ K ó d	X à s à ǔ U N C u O C Z j M ǔ r ǔ K ó d
Y U ǔ O ú o D d à b ù t y é Z ó b è c l	Y U ǔ O ú o D d à b ù t y é Z ó b è H l
Z v p Z à E ó á V a M g b d w x ě D g à	Z v p Z à E ó á V a M g p d w x ě D g à
a q t c ó I i O á e o I Z j x U i ù J d i	a q t c ó I i O á e o I Z j x U i ù J i
b a G a J E m b W k o ó H q l d Z K Y y v	b a G a J E m W k o ó H q l d Z K Y y v
c P a U U j V b ě G k w w f t E w I Q ù	c P a U U j V m ě G k w w f t E w I Q ù
d M S o è b q R ǎ ò ú i l u Q ò c é r i	d M S o è b q R ǎ ò ú i l u Q ò O é r i
e l i à z è c Z b G F T d ě i ǒ R é w u D	e l i à z è Z b G F T d ě i ǒ R é w u D
g ú I y o ú p ǔ G M b r B c L à á o O W à	g ú I y o ú p ǔ G M r B c L à á o O W à
h a b Y X a n l ò h n M k O ě n t R a U ǒ	h a Y X a n l ò h n M k O ě n t R a U ǒ
i w c ù D v v Z è Q ó d d y n p S V Q B r	i w ù D v v Z è Q ó d d y n p S V Q B r
k D V ú b e A c X d ǎ è h F m A a S K a ò	k D V ú b e A X d ǎ è h F m A a S K a ò
l d k u h K D m z S E ú S g y n b B c N	l d k u h K D m z S E ú S g y n b B n N
m z M n w s A é D i ù m a L d K o b o ǒ	m z M n w s A é D i ù m a L d K o ó o ǒ
o T c w x l S F Z m o d H e G ǎ G C S n	o T Y w x l S F Z m o d H e G ǎ G C S n
p q Q W U ǎ ǒ h X ǎ A b ò W t v c d D Z J	p q Q W U ǎ ǒ h X ǎ A b ò W t v d D Z J
r B b G f k O W F c o P ǎ ǔ C P e á R ě Y	r B b G f k O W F o P ǎ ǔ C P e á R ě Y
s U b e d c I t V G ù Y i u X á F c u P	s U C e d c I t V G ù Y i u X á F c u P
t g ǔ ù z a ó Y Y i U P f j é l ě b u y Z	t g ǔ ù z a ó Y Y i U P f j é l ě u y Z
v á ò è n s Q v A a è ǔ e J ǒ ǒ b w L f	v á ò è n s Q v A V è ǔ e J ǒ ǒ b w L f
w E b ě u P o N W è j w ě z z E c n T a ǎ	w E b ě u P o N W è j w ě z z E n T a ǎ
x a á P L ǒ G V y H w b z v F L d v g P	x a á P L ǒ G V y H w I z v F L d v g P
y c a n k o t g è b x X a ǎ t D z c l à z	y c a n k o t g è x X a ǎ t D z c l à z
ù ù f M J z K a v b v x m d w K P c S R c z	ù ù f M J z K a v v x m d w K P c S R c z
ǔ ú J M F m F è ò d é a b D L ó K X à u S	ǔ ú J M F m F è ò d é x b D L ó K X à u S
á T k r v à è s F b K ǒ C k h è A c j B s	á T k r v à è s F b K ǒ C k h è A I j B s
à n f W E T M f r H l z a è H i ě b h w C	à n f W E T M f r H l z a è H i ě V h w C
é D c T E z A P F g K d x u b M t L Z t J	é D A T E z A P F g K d x u b M t L Z t J
è Q V a Y j e m P I b X p I ě T i U á h F G	è Q V a Y j e m P I X p I ě T i U á h F G
ě b ú z J J A O ǒ l ě a m l U w k ǒ F E b Y	ě b ú z J J A O ǒ l ě m l U w k ǒ F E b Y
ó x ú ě Q ě W W u U è n b C c x F ǔ P E è	ó x ú ě Q ě W W u U è n b C A x F ǔ P E è
ǒ C U W l w A e X p ǎ o Q c h é e Y c d s	ǒ C U W l w A e X p ǎ o Q c h é e Y c ǎ s
ú S b t Y I ó P w ǒ ǎ Q ě j v d C K c l ě P	ú S t Y I ó P w ǒ ǎ Q ě j v d C K c l ě P
A o j S U q ò U c w y è F a p d ò m A o h	A o j S U q ò U N w y è F a p d ò m A o h
C é q T j o X a T G e x M O B G c d ó J é	C é q T j o X a T G e x M O B G c o ó J é
D V f é d r C z d è b f ò ǔ k a L c v ǒ t n	D V f é d r C z d è f ò ǔ k a L c v ǒ t n
E o z X b E l a O D w H t K Y O W Y F n a c	E o z X b E l a O D w H t K Y O W Y F n a
G a I W è k Y G ó ǔ v I b H g R O K à E n	G ò I W è k Y G ó ǔ v I b H g R O K à E n
H F b c o P à á w t Y l A M N s i t h Z j	H F U c o P à á w t Y l A M N s i t h Z j
I c w ǔ E ó F ǔ ó ó s I S ǎ l r S d A N l	I c w ǔ E ó F ǔ ó ó s I S ǎ l r S c A N l
J z j b ó L J J ǒ a y r r O n f ò S f H c é	J z j ó L J J ǒ a y r r O n f ò S f H c é
L ú O l a z ù n v R ǎ ě G b O u H a ǒ j P ò	L ú O l a z ù n v R ǎ ě G O u H a ǒ j P ò
M X X i ǔ I C w H S D b n c F K U u q ò B z	M X X i ǔ I C w H S D n c F K U u q ò B z
N p y t h v c P w R y Q d ǒ c n w y I i V u	N p y t h v P w R y Q d ǒ c n w y I i V u
O w x s D ǔ N v L b ó L M c R n ó T Z J q B	O w x s D ǔ N v L ó L M c R n ó T Z J q B
Q I ǒ X d S ě R K n o ú t è á c ǔ a b D ó n	Q I ǒ X d S ě R K n o ú t è á c ǔ a D ó n
R e K A k K r b J á ǒ ǒ M ǔ e S ò z c E à ǔ	R e K A k K r J á ǒ ǒ M ǔ e S ò z c E à ǔ
T á m ú ǎ N á i N p b d M K ù Y c ò g f p	T á m ú ǎ N á i N p d d M K ù Y c ò g f p
U J P Q l o é C x ó ò i M j s ǒ d a o A b	U J P Q l o é C x ó ò i M j s ǒ d z o A b
c i r T v Q p s l Y s o d V ù à j g A e N	V i r T v Q p s l Y s o d V ù à j g A e N
X ò à ú H ú a t y E b E Q f K Z è Z T H e	X ò à ú H ú a t y E z E Q f K Z è Z T H e
Y e S B ǎ R L k N é p i ǔ ù k h ò a J b k j	Y e S B ǎ R L k N é p i ǔ ù k h ò a J k j
Z z b f ù z D L c U à H o q U ó c t n ǎ ě	Z z o f ù z D L c U à H o q U ó c t n ǎ ě
a w p t m I w c i T w h P n e J d E ó à c	a w p t m I w c i T w h P n e J H E ó à c
b q è e p H A x d G F t L c U s Y Z N f H	b q è e p H A x d G F t L J U s Y Z N f H
c e v ǒ l K X ú Y z r j ù B à ě d L V z v	c e v ǒ l K X ú Y z r j ù B à ě a L V z v
d j S j V X i w ò q ǎ é O t P ù Z à b s c	d j S j V X i w ò q ǎ é O t P ù Z à b s a
f á a é Y e A s O Y p ǒ i H r C c ù b u D	f á H é Y e A s O Y p ǒ i H r C c ù b u D
g P x J j ó C á d O R p a Q v U D s b s a	g P x J j ó C á d O R p a Q v U D s é s a
h c c q h á W x E i N l ǒ G é O m ù N B b c	h c c q h á W x E i N l ǒ G é O m ù N B c
j ǔ ě H E b B v O y V ǔ x F u ǎ V ǒ c R L	j ǔ ě H E w B v O y V ǔ x F u ǎ V ǒ c R L
k à b x á ó a g V V O d L S y L b w A d P O	k à b x á ó g V V O d L S y L b w A d P O
l Y M m z I G C c y M V C ó d y ò T Q S y	l Y M m z I G C L y M V C ó d y ò T Q S y
m m r B I P g K ǎ G V ò J f W Z b Y à ǔ c X	m m r B I P g K ǎ G V ò J f W Z b Y à ǔ X
n r i p A b á f ó a á S b G f h E x r C l n	n r i p A b á f ó á S b G f h E x r C l n
p C d X M B Z è x y p ù é b P p H y Z F c i	p C d X M B Z è x y p ù é P p H y Z F c i
q P t U v T O è F w U x é W F a C o d b n D	q P t U v T O è F w U x é W F a C o d n D
r i B Z V P M q n E N ě j q D g ǔ b ě ǎ y c	r i B Z V P M q n E N ě j q D g ǔ b ě ǎ y
t à a B y N ò B o I ǎ n b W é v K Q t F k H	t à a B y N ò B o I ǎ n W é v K Q t F k H
