grammatical	ungrammatical
ù à M a ù i G i H A a ó K ǒ j á a k A ǎ b S ù v b A b v ǎ p n	ù à M a ù i G i H A f ó K ǒ j á a k A ǎ b S ù v b A b v ǎ p n
à A ù ǒ k a a ó ě a O b q ě l J w p à l D z o u r b l Q h U b	à A ù ǒ k a a ó ě a O b q ě l J w p à l D z o e u r b l Q h U b
è E a U ò S a J a e X e b h K b b é p Q E y h à Z z Y R b g t	è E a U ò S a d J a e X e b h K b b é p Q E y h à Z z Y R b g t
ó v a V l v y s a ǒ P x V à D X w O B v ǒ a O b P b N N s b à	ó v a V l v y s a ǒ P x V à D X w O B v ǒ a O b P b N N s S à
ú j à p X S a ú i D G g w a è L Q a O f b H V F g K C F p b b	ú j à p X S a ú i D G g w a è L Q a O f ǎ H V F g K C F p b b
C T a G B m n x ǒ a a p P K b Q á E F à á B à y S b q X b ù p	C T Q G B m n x ǒ a a p P K b Q á E F à á B à y S b q X b ù p
E o a y ǔ Y ú E N J ù a w è a r b K l ó O h i x á p P ó A b b	E o N y ǔ Y ú E N J ù a w è a r b K l ó O h i x á p P ó A b b
I ǎ I a L a a Q Z á N t v t b V W b q ú o G g w G j w Y ǔ S b	I ǎ I a L a a Q Z á N t v t b V W b q ú o f g w G j w Y ǔ S b
K k y a ò E O a ě n L E V A H ǒ j X T a y á t o b b è P N k b	K k y a ò E O a ě n L E V A H ǒ j X T a y á t o t b è P N k b
N i G W Z a ú J a é a ó u N w N v b K b m h v ě é b b w k Q y	N i G W Z a ú J a é a ó u N w N v b K b m h v ě é b c b w k Q y
Q u R R ò U a a x m V y ǒ J r a D ú ǎ b R H Z b Y W J y K b á	Q u R R ò U d a a x m V y ǒ J r a D ú ǎ b R H Z b Y W J y K b á
T a l ǎ r v a ó t A a A b è l ò b p ú r l W E U i E k o ù P b	T a l ǎ r v a ó t A é A b è l ò b p ú r l W E U i E k o ù P b
W a a ǎ N T h Q J N t i T a h h G ò b o b ǎ V t X K n L b ó C	W a a ǎ N T h Q J N t i T á h h G ò b o b ǎ V t X K n L b ó C
Z K a u C o y à g G t ǔ ú a a é ó B R b b H M Y N Q S b p ù g	Z K a c C o y à g G t ǔ ú a a é ó B R b b H M Y N Q S b p ù g
a ò h x w K a V ǒ v a O V I ù f j g ǎ p h b ě N E b m ǔ D X b	a ò h x w K E V ǒ v a O V I ù f j g ǎ p h b ě N E b m ǔ D X b
a N a P i á T j m O ǒ a C V à O O b b J v U P ǒ X l Z b ě u u	a N a P i á T j d O ǒ a C V à O O b b J v U P ǒ X l Z b ě u u
a a ú M a E ǒ N V H R b b G m b z x b X ǔ b V Z H G i C K u E	n a ú M a E ǒ N V H R b b G m b z x b X ǔ b V Z H G i C K u E
a i a U a Z P R ǎ z n z L m D U B b A V T G è z b é F b m o j	a i a U a Z P R ǎ z n z L m D U B b A V T G è z D é F b m o j
a x a x m D W t o G E ó L E D R S W G V H B a c l b à b b Y n	a x E x m D W t o G E ó L E D R S W G V H B a c l b à b b Y n
i a N C y i a a E a à y V ù O b A x A U I V N é u m b Z b P i	d a N C y i a a E a à y V ù O b A x A U I V N é u m b Z b P i
l S q a T z è K ú v a a á b ǒ U L ó k K j i b N N y b r P n Z	l S q a T z è K ú v a a á b ǒ U L ó k K j f b N N y b r P n Z
o X ù F q a ǎ ò à r Z o s I L a é P a m z K b ǔ á b x L b o F	o X ù F q a ǎ ò à r Z o s I L a é P a m z K b ǔ f b x L b o F
r V a q H a F D o ù r Z ù x ù w ó a i V D b à B p b V g b C u	r V a q H a F D o ù r Z ù x ù w ó a i V D b à B p b V g D C u
u T a s H ǒ F a O à H v a F P d P ǒ H c D C K ò E K q à b b b	u T a s H ǒ F a O à H v a F P d P ǒ H c D C K ò E K q à ǔ b b
x a i t W A Z J t á ú w l a X W á a l A b o Y á é à b X b X D	x a i t W A Z J t á ú b l a X W á a l A b o Y á é à b X b X D
ù ù k N a ǔ N t O ó O g D m a a b á g o ù Q ǒ é U B N b O L P b	ù ù k N a ǔ N t O ó O g D m a a b á g o ù Q ǒ é U B N b O L c b
á u a á y Q w ǔ g P r M B F a o r ě I y R a R b ě b ǒ y á b p è	á e a á y Q w ǔ g P r M B F a o r ě I y R a R b ě b ǒ y á b p è
é L n H a R T B g a r a L Z b F q I F A ǒ ó ò é k C b N b u ó z	é L n H a R T B g a r A L Z b F q I F A ǒ ó ò é k C b N b u ó z
ě r N i Q y t C h l G C N a Z ò ǒ g D a J B j a b z b b r s é ú	ě r N i Q y t C h l G C N a Z ò ǒ g D a J B j b z b b r s é ú
ǒ t a G a I S j h ǔ D a T s j N r ù v m g Z H C l b b u D H ù b	ǒ t a G g I S j h ǔ D a T s j N r ù v m g Z H C l b b u D H ù b
B o z a I a L P a ǒ é N b N ù D ě O m E N s E B O w b b C z g g	e o z a I a L P a ǒ é N b N ù D ě O m E N s E B O w b b C z g g
E t ó J t K U x o a R Z h Q ǎ o h K P a a l Z i n t b I y P b b	E t ó J t K U x o a R Z h Q ǎ o h K P a a l Z i n t R I y P b b
H n k ě x i ě m a B ě ú V a A a L Z b è C U v y T S j T b r u b	H n k ě x i ě m a B ě ú V a A a L Z b è C U v y T S j T b r u f
L ú o S ù a T F a a S è e h c x j U b b t M M i i b ě r A P L y	L ú o S ù H T F a a S è e h c x j U b b t M M i i b ě r A P L y
N r t a a U y g a O ǒ á h Y P b ǎ A b C O b à ó ǔ v K A b ù q s	N r t a a U y g Y O ǒ á h Y P b ǎ A b C O b à ó ǔ v K A b ù q s
Q q D a l ǎ t u t Z á a n a R b i g H g D b z u R b G S C J E ě	Q q D a l ǎ t u t Z á E n a R b i g H g D b z u R b G S C J E ě
T a o R ǒ P Y a a é B R G h ǔ i b ǎ b K S i w N T u ù F X F I b	T a o R ǒ P Y a a é B R G h ǔ i b ǎ b K S i w N T u ù F X F I D
W a ǎ X v o a a v u ǔ P J D p ǔ s e b ǎ E é W b O M o S T b C j	W a ǎ X v o a a v u ǔ P J D p ǔ s e b ǎ E é W b O e M o S T b C j
Z Y m u J a a y U é à p m è x P a b X J P h n z à M ě Y x b ú b	Z Y m u J a a y U é à p m è x P a b X J P h n z à M ě Y x e ú b
a ǒ m a ó N U A ù á J a P i à k h a ě T q b b b C ó h v X M X s	a ǒ m a ó N U A ù á J a P i à k h a ě T q b d b b C ó h v X M X s
a M Q a U W U j a A N j z ú b x B ó W b n é S r ǒ ó G ó b á O T	ǒ M Q a U W U j a A N j z ú b x B ó W b n é S r ǒ ó G ó b á O T
a Z q ù ú ú s P à s u a ǒ ó v B x a b ù D ó n Z ǔ l s á H b ě b	a Z q ù ú ú s P à s u a ǒ ó v B x a g ù D ó n Z ǔ l s á H b ě b
a i w B y A a T o u a R m ú b J z b s q E Y b é J W K á q X C O	a i w B y A a T o u a R m ú b J z b s q E Y b é J W K f á q X C O
a z x K Q ù ǔ Q a v r F N B m n v t G a e b s T w b T à è Z K b	a z x K Q ù ǔ Q a v r F N B m n v t G B e b s T w b T à è Z K b
j ǒ C a M q a s x V X Z R ǒ a n u G ò ò q D j b b I ò h b ǔ s J	j ǒ C a M q a s x V X Z R ǒ x n u G ò ò q D j b b I ò h b ǔ s J
m B a n ě k j è u a ǎ a b b è N L A b R T ǎ b C Y r t n m G Z J	m B a n ě k j è u a ǎ a b b è N L A b R T ǎ b C Y r t n m G c J
p W T o n k I W i k s g q K V a á á è a O k a b b ǒ y p ǔ b j h	p W T o n k I W i k s g q K V a á á è a O k ó b b ǒ y p ǔ b j h
r i E ǎ V n a u n m ú s x a a b ǎ ǔ ù b ò è t à n y ǒ ù o P b V	r i E ǎ V n a u n m ú s x a a b ǎ ǔ ù b ò è t à n y ǒ ù o P c b V
u a Z z N ǔ a N t N s a á x ù p T b R J b L S z O j A x ǔ b ě V	u a Z z N ǔ a N t N s a á x ù p T b R J b L S z O j A x ǔ Z ě V
x a n W x a R D ú a b b q W B D T L C ù r g á á è S Q b p j G Z	x Y n W x a R D ú a b b q W B D T L C ù r g á á è S Q b p j G Z
ù ǎ s Z v o à è N a B s h a C Y n u a V l b b C k S V C E ò b S ó	ù ǎ s Z v o à è N a B s h a C Y b n u a V l b b C k S V C E ò b S ó
á U a ǒ a j a ú ǎ è z B N L q H b F w P é R V b Q J R O é W A K b	á U a ǒ ǔ j a ú ǎ è z B N L q H b F w P é R V b Q J R O é W A K b
é X n ú Q Y ò s h o a X V Z S q l r t l a p ó à a ó N b b I b ě é	é X n ú Q Y ò s h o a X V Z S q l r t l a p ó à a ó N b é I b ě é
ě h O a j L a é g F ò v a C ǔ b C ù k i t b o T ó b w X n G ó é ě	ě h O a j L a é g F ò v a C ǔ b C ù k i t b o T ó b d X n G ó é ě
ǒ E Z ú y a ǔ V w a W ó a z è J Z ǒ H á x I p ǔ ó f ó b b p i b à	ǒ E Z ú y a ǔ V w a W ó a z è J Z ǒ H á x I p ǔ ó f ó b I p i b à
B ě C é u è E a T j h S P M J a ù i y ǎ a T U W b b é z t á Y s b	B ě C é u è E a T j h e P M J a ù i y ǎ a T U W b b é z t á Y s b
D t a k o ó r E x a ò I l w o Q ě é E á h a W b v ó B M b è J x b	D t z k o ó r E x a ò I l w o Q ě é E á h a W b v ó B M b è J x b
G a p Y H ò E o a i i a T b F u w ǎ Q b z ě t g U b y è u s l D Z	G a p Y H ò E o t i i a T b F u w ǎ Q b z ě t g U b y è u s l D Z
K N a a ù i ò H ǎ C a W b h b n ù A u p A N b Q C y m h U s é Q X	K N a a ù i ò H ǎ C a W è h b n ù A u p A N b Q C y m h U s é Q X
N a ǔ B T B H H F r x Z o a ú ǎ M B a L é W ò b b E L à O b R G è	N L ǔ B T B H H F r x Z o a ú ǎ M B a L é W ò b b E L à O b R G è
Q N a W a h i à è á O Y y a b K U L b A b p Y N b i á V T z r ú v	Q N a W a h c à è á O Y y a b K U L b A b p Y N b i á V T z r ú v
S j a R X ǒ X ó k x a a I f i ǎ W t b b z b l C Z b B ó D Y J b l	S j a R X ǒ X ó k x a a I f i ǎ W t b b z b c l C Z b B ó D Y J b l
V Z R a q k D a a D v ò o b b R g G m L A r t é j b N z p V E M J	V d Z R a q k D a a D v ò o b b R g G m L A r t é j b N z p V E M J
Y Y á I A q o y ǒ a á A a p S U B v H a b x W b b M y ě ú i B D B	Y Y á I A q o y ǒ a á c a p S U B v H a b x W b b M y ě ú i B D B
a é z I u u N O J a T i r C a é w ǔ ǒ p v b X b n ě m b s u m n l	a é z I u u N O J a T i r C n é w ǔ ǒ p v b X b n ě m b s u m n l
a J w a ù Z Y G o p L N Q U F a M o Y g b i l G W G l b C n b R Z	a J w a ù Z Y G o p L N Q U F R M o Y g b i l G W G l b C n b R Z
a Z R t u i G E N a a g B W X ǒ é ǎ j Y y b U o ǒ X s A m Y b w b	a Z R t u i G E N a a g B W X ǒ é ǎ j Y y b U o ǒ X s A m Y J w b
a h K T z a w y a S s C B t F L b o z b U P ǎ u z k b K l é V I n	a h K T z e w y a S s C B t F L b o z b U P ǎ u z k b K l é V I n
a w ò a O q a A ǎ O é v m b h i h U s ǔ n F h Q ǒ P q G T b Q ě b	a w ò a O q a A ǎ O é v m b h i h U s ǔ n F h Q ǒ P q G T ò Q ě b
