grammatical	ungrammatical
ù ù a a F a ú ú W W a a á C é P ò q á ó	ù ù a a F a ú ú W W X a á C é P ò q á ó
ǔ O Y a Y a u l a Z z y V a C C z a S T	ǔ O Y a Y a u l c a Z z y V a C C z a S T
á a X R N U Q a a W z J C è N o q a a L	á a X R N U Q a a W z J C è N o q a é L
ǎ ò ǒ G ú W á m a á ǎ a r U E K a J a a	ǎ ò ǒ e ú W á m a á ǎ a r U E K a J a a
é n O y a O à r J P G W a à O a a B N a	b é n O y a O à r J P G W a à O a a B N a
ě I a A a M z a ú a z a D X z h ó S ǎ c	ě I a A a M z f a ú a z a D X z h ó S ǎ c
ò ǔ N C ò L C a C m a S a S C a ǔ á ǒ a	ò ǔ N C ò L C A C m a S a S C a ǔ á ǒ a
ǒ a J S V T ǒ o K ù a x S a r W A u a a	ǒ a J S V k T ǒ o K ù a x S a r W A u a a
A ǒ ó z R J a a I C G è ǒ y a v M a a P	A ǒ ó z R J a a I C G è ǒ y a v M u a P
B a J K a I N ě L a a m ù t a z C O ò O	B a J K a I N ě L Y a m ù t a z C O ò O
D ǎ Y Q p r a u a a a G a ó X v Q S y Z	D ǎ k Q p r a u a a a G a ó X v Q S y Z
E a à s N U C a Q ǔ D á a ǔ a L Q D a b	E a à s N U C a Q ǔ D á a ǔ f a L Q D a b
G à D a N a a w w B n ǔ a J a F è ǎ ǔ B	G à D a N a K w w B n ǔ a J a F è ǎ ǔ B
H a ǔ K Y a D z a X q á K a X a l é z G	H a ǔ K Y a D z a X c á K a X a l é z G
J ǔ H S á C ò à a J I a a F s p r a a s	J ǔ H S i C ò à a J I a a F s p r a a s
K J ò P F V a y x u é x y a p a z T a a	K J ò P F V C y x u é x y a p a z T a a
L a t A ò E ù è a a q Y T ě A a A E P a	L a t A ò E ù è i a q Y T ě A a A E P a
N B E ǔ a O a ě ǔ ǎ a B ù a ě è ó E u a	N B E ǔ a O a ě ǔ ǎ a B ù a ě è d ó E u a
O ǒ v s a t M a M a v D G P a a V ǔ P K	O ǒ v s a t M h a M a v D G P a a V ǔ P K
P a a v a ǔ o C G D F p a ú ǔ Q F a R S	P a a v a ǔ o C G D c F p a ú ǔ Q F a R S
R C a Q T S K a ú a C ǔ a l L M N á y a	R C a Q T S K a ú a C ǔ a l L M c á y a
S Z E U a a a a n ǎ à ú a m r i h N x x	S Z E b a a a a n ǎ à ú a m r i h N x x
U ǔ a a a U ě ǎ n X ě a a ó p g R X u D	U ǔ a a a U ě ǎ n X ě a C ó p g R X u D
V l w t a A r w a a à ǔ M a X Z N Z a b	V l w t a A r w a a à ǔ M w X Z N Z a b
X O s a L ò v C B K a a a E y P V S a W	X O s a f L ò v C B K a a a E y P V S a W
Y a s ò ǔ D q a q J a a M V è a ǒ ǒ á z	Y L s ò ǔ D q a q J a a M V è a ǒ ǒ á z
a ù a t u V X C p t ě a a D L Y E a A m	a ù a t u V X C p t ě a Y D L Y E a A m
a è O a a v a a G k à q á ú L F W Y h L	a è O Y a v a a G k à q á ú L F W Y h L
a ú w T m á V a a I O T a G Z a ó ò ě Q	a ú w T m á V a S I O T a G Z a ó ò ě Q
a F ù t a F v Z a r a a M Z H M ò d g é	a F ù t a k v Z a r a a M Z H M ò d g é
a J H ò a z a T s l t ě ǎ l a V Y a è ǒ	a J H ò a z a T s l t ě ǎ l a V g Y a è ǒ
a O a a I W I G à N O a O a ú A l d p H	a O a a I W I G à N O a O P ú A l d p H
a S a a a a ù f K S n u E G à p z I ǔ o	a S S a a a ù f K S n u E G à p z I ǔ o
a Y L é u a a A ě W N a a l y Y u t ǎ ǔ	a Y e é u a a A ě W N a a l y Y u t ǎ ǔ
