grammatical	ungrammatical
a a a F b ǒ n K j ǎ Q R P t a r g j I ù	ù a a a F b ǒ n K j ǎ Q R P t a r g j I ù
a a a c T h ǎ L b r m a X J l à k v ú D	ě a a a c T h ǎ L b r m a X J l à k v ú D
a a a y ú ó á G R r U è r O ú y e Z ó v	E a a a y ú ó á G R r U è r O ú y e Z ó v
a a a T é Q y e ù à J o ó k ǒ w q h E y	M a a a T é Q y e ù à J o ó k ǒ w q h E y
a a a M u n m o v c y x e h s á l o x r	T a a a M u n m o v c y x e h s á l o x r
a a a ě J N E v ǒ n L y Y m ó m ǒ d g q	b a a a ě J N E v ǒ n L y Y m ó m ǒ d g q
a a a x X X Z á á Y n m Y V L a ó h N é	k a a a x X X Z á á Y n m Y V L a ó h N é
a a a W ù n L ǎ d C h Z ě d è ò D x H H	t a a a W ù n L ǎ d C h Z ě d è ò D x H H
a a a Z ò l R l u r W t i V w Z z h u U	a a Z ò l R l u r W t i V w Z z h u U
a a a S v á w w r X c C d ó é i à v e S	è a a S v á w w r X c C d ó é i à v e S
a a a B J á T ě N d ǔ ǎ U O ú p R é è j	B a a B J á T ě N d ǔ ǎ U O ú p R é è j
a a a B F N Q X y ò u n L Q i Y W J a H	J a a B F N Q X y ò u n L Q i Y W J a H
a a a ò O o f T Q u w ù u h q b è T w e	R a a ò O o f T Q u w ù u h q b è T w e
a a a S o y G ǎ l A ò e k O g r Y N m ǒ	Y a a S o y G ǎ l A ò e k O g r Y N m ǒ
a a a L k N R i v N U ò O k X j v W y V	a ǎ a a L k N R i v N U ò O k X j v W y V
a a a s L C M ǎ m p D V é é z a á U t j	a B a a s L C M ǎ m p D V é é z a á U t j
a a a q M M ǔ P ú N a k R Q o M R u Z è	a I a a q M M ǔ P ú N a k R Q o M R u Z è
a a a a n à M r a o n x A V a y d é e s	a R a a a n à M r a o n x A V a y d é e s
a a a o z r B z d e á á G X e X x N P B	a X a a o z r B z d e á á G X e X x N P B
a a a ò Y z m k w j y F ó d m z B R p I	a g a a ò Y z m k w j y F ó d m z B R p I
a a a ò X B R I Z n ò ǎ V à H á p D S K	a o a a ò X B R I Z n ò ǎ V à H á p D S K
a a a L b k à w r M Y X J k D o m v m E	a x a a L b k à w r M Y X J k D o m v m E
a a a ú l E ó J h ù ě ú X ó t ó ě O C S	a à a ú l E ó J h ù ě ú X ó t ó ě O C S
a a a ě i n U d e n K A ú b W S l a s u	a ǒ a ě i n U d e n K A ú b W S l a s u
a a a x x ú ò k p ò s V c Z D y à r ǎ é	a F a x x ú ò k p ò s V c Z D y à r ǎ é
a a a Y e a t j w U v g c K O v f h H W	a M a Y e a t j w U v g c K O v f h H W
a a a n ǎ t o t N j ò J S h T i Z ǔ E z	a T a n ǎ t o t N j ò J S h T i Z ǔ E z
a a a l r d ù t L Z Q t ú b H N p N s D	a a ǔ a l r d ù t L Z Q t ú b H N p N s D
a a a z Z p a P b E b c Q d ǔ d d k i L	a a ó a z Z p a P b E b c Q d ǔ d d k i L
a a a b N J ò m E J X P ó y à Q F e b u	a a F a b N J ò m E J X P ó y à Q F e b u
a a a à e l Q j e G D ě x Q ó W B v ú M	a a N a à e l Q j e G D ě x Q ó W B v ú M
a a a q s ǔ e G T ǒ o x t z Q y u P e q	a a U a q s ǔ e G T ǒ o x t z Q y u P e q
a a a ǔ V S P J X e ǔ C f J E Y Z x j ú	a a e a ǔ V S P J X e ǔ C f J E Y Z x j ú
a a a l S l F i é v M C Z ú ǔ c A h r g	a a l a l S l F i é v M C Z ú ǔ c A h r g
a a a o U ó G w H A V t z p S W J o S g	a a s a o U ó G w H A V t z p S W J o S g
a a a X à I A X o z o O P O r x V F u ǒ	a a z a X à I A X o z o O P O r x V F u ǒ
a a a S J è R D L j b t ǎ S q T f P S D	a a é S J è R D L j b t ǎ S q T f P S D
a a a z T ǔ r ò j O H y h T a K L à v ě	a a B z T ǔ r ò j O H y h T a K L à v ě
a a a K r c é N e j B s m F s D E R l L	a a I K r c é N e j B s m F s D E R l L
a a a é u e u J B M d y H r ǎ H ú ǎ f w	a a Q é u e u J B M d y H r ǎ H ú ǎ f w
a a a w g q ó B ǔ d P v ù D K w y o a ó	a a Z w g q ó B ǔ d P v ù D K w y o a ó
a a a y N a T O ú R B h x F C N y ǒ y K	a a i y N a T O ú R B h x F C N y ǒ y K
a a a ě l á F n ě T k c y y à K a n F z	a a q ě l á F n ě T k c y y à K a n F z
a a a B é b o X c á l G B n E l U S h E	a a x B é b o X c á l G B n E l U S h E
a a a A U d ǒ k s l m C S A O s Q S ó a	a g a A U d ǒ k s l m C S A O s Q S ó a
a a a X a y v o ó k z q d W s ú b o U l	a o a X a y v o ó k z q d W s ú b o U l
a a a Z à S W ǎ C m ó r k n ǔ m C w i c	a u a Z à S W ǎ C m ó r k n ǔ m C w i c
a a a C V ǔ p e I m ǔ k r G R Z Q n t G	d a a C V ǔ p e I m ǔ k r G R Z Q n t G
a a a ǎ b z L c ě U E I R y w i J r B A	l a a ǎ b z L c ě U E I R y w i J r B A
a a a m ě P b i J z ó k p á ǎ ǒ i L v f	t a a m ě P b i J z ó k p á ǎ ǒ i L v f
a a a o w N x m ò Q t q k é U f S w s M h	ù a a a o w N x m ò Q t q k é U f S w s M h
a a a m ó m ǔ w b r P R R q K ǒ v ǎ ò E Y	è a a a m ó m ǔ w b r P R R q K ǒ v ǎ ò E Y
a a a p F X X k f à ǔ y ǔ H ù V Z s G A p	B a a a p F X X k f à ǔ y ǔ H ù V Z s G A p
a a a K X M V r è r A o y P V ù S y t D A	I a a a K X M V r è r A o y P V ù S y t D A
a a a J C c J i O j x G J t d q r D ǔ P c	Q a a a J C c J i O j x G J t d q r D ǔ P c
a a a á A t ó ǎ J U W b H q h t Y V ù b n	Y a a a á A t ó ǎ J U W b H q h t Y V ù b n
a a a p ú v b O e z a Q ó t s F M N L K K	g a a a p ú v b O e z a Q ó t s F M N L K K
a a a h F á h T P é x ǎ D I r S N O c r B	o a a a h F á h T P é x ǎ D I r S N O c r B
a a a L ù o R D o a ò q w ù r P l M m D B	w a a a L ù o R D o a ò q w ù r P l M m D B
a a a s h H P B ǒ r m è o w N N ǎ T h c L	á a a s h H P B ǒ r m è o w N N ǎ T h c L
a a a w H W P P O N D ú M m E s J O W w ú	ò a a w H W P P O N D ú M m E s J O W w ú
a a a n X ǎ n S J è S s s ú f u R I k L x	E a a n X ǎ n S J è S s s ú f u R I k L x
a a a p H q B h w à u v t z Q q ǒ T U s I	K a a p H q B h w à u v t z Q q ǒ T U s I
a a a ě O ǒ b W y c L S A W ǒ V K B r x ó	T a a ě O ǒ b W y c L S A W ǒ V K B r x ó
a a a Y I ú z U R S è b W T w J z e N K q	a ǔ a a Y I ú z U R S è b W T w J z e N K q
a a a q X E O ě Y X G q Y n ú U T y ě B r	a ě a a q X E O ě Y X G q Y n ú U T y ě B r
a a a z Q e ò F I r v B A P T ǎ K v m n u	a C a a z Q e ò F I r v B A P T ǎ K v m n u
a a a ù M c D q F ú c ě y ò à O ù U ù k N	a L a a ù M c D q F ú c ě y ò à O ù U ù k N
a a a U o B I s q z g S q v K Q X L q q P	a T a a U o B I s q z g S q v K Q X L q q P
a a a h è v Y F l r A D S V k Z z E o ě Y	a c a a h è v Y F l r A D S V k Z z E o ě Y
a a a H h q g K à L è a u á j s m W ǎ ǎ a	a j a a H h q g K à L è a u á j s m W ǎ ǎ a
a a a Q W H M w h ú C v G ù I I e l ǎ G n	a r a a Q W H M w h ú C v G ù I I e l ǎ G n
