grammatical	ungrammatical
ù ǔ ò D A D J ǒ ǔ t L k e h w o c a a Z	ù ǔ ò D A D J ǒ ǔ t L k e h w o c a q a Z
ǔ X x q q è U ǔ j c f a a E i m b j k á	ǔ X x q q è U ǔ j ǔ f a a E i m b j k á
á u N E á t N c i x p g D O ǔ r O n a a	á u N E á t N c i x p g D O ǔ r O n a f
ǎ b F c R K q w i D s I x ù a a U I ú k	ǎ b F c R K q w i D s I x ù a i U I ú k
é l p c x à o a a V F N t M l I z v g ó	é l p a x à o a a V F N t M l I z v g ó
ě à M J c a a é x Z ù n e n c k ò s w ò	ě à M J c ù a é x Z ù n e n c k ò s w ò
ó H D e c w N á ú ǒ W N Q S a a e P k J	ó H D e c w N á ú ǒ W N Q S a Q e P k J
ò c M T ù à h J a a y V N W X N u ǎ K D	ò c M T ù à h J a B a y V N W X N u ǎ K D
ú ě c à l q J S j S p O E e è l é U a a	ú ě c à l q J S j S p O E e è l é U a Y
A c C g n F d s ó D ǒ a a e Z e g r M ú	A z C g n F d s ó D ǒ a a e Z e g r M ú
B v ò c w a a k ú b U B h j n P R y r D	B v ò y w a a k ú b U B h j n P R y r D
D J j c B Y C t o á a a f I H c R ù Y ò	D J j c B Y C t o á H a f I H c R ù Y ò
E m G c a a p ǒ n X Z g n q ǎ z K X I F	E m G c ù a p ǒ n X Z g n q ǎ z K X I F
F y ó á n q c U g ù s I N R a a J Q Y ě	F y ó á n q à U g ù s I N R a a J Q Y ě
H J h y C q p c W h K x N a a ǔ o D m Z	H J h y C q p c W h K x N ú a ǔ o D m Z
I i w I W z y F c B a a K Z ó B à G z D	I i w I W z y F c B a ù K Z ó B à G z D
K R R c á ù M D t w X m N L Y è a a á V	K R R c á ù M D t w X m N L Y è a n a á V
L i O ǔ ò H D F Y J G c ù ě a a k ǔ ǒ t	L i O ǔ ò H D F Y J G c ù ě a á a k ǔ ǒ t
N R W c c M X U Q G I a a w ú ǎ j F z A	N R W c c M X U Q G I a é w ú ǎ j F z A
O u M R ù ǒ r b r ò n j c a N g a a o l	O u M R ù ǒ r b r ò n j c a N g x a o l
Q S G P J M g c C k y ó s a a F i ó y P	Q S G P J M g c C k y ó s a E a F i ó y P
