form	categorical_judgment
ù ó w S à a é R q l W g R I è Z u ě P a a n S D a ě w a b e D	grammatical
á y C z I ǎ ó a D O i ǎ á a o ǒ a O a Q N a b D h l L y v z o	grammatical
è C ǔ a o a M ǔ é a X a a e V a ě è H Y l F O n f F Z ú y O ó	grammatical
ó Z z à Y A g B X H r é q a a E q a C r a Q p a v ú à à f r h	grammatical
ǒ y T a k K è k ú X o h n L E è G O F V a R a H a x g w a O c	grammatical
B l à i B p h a g i è V é Q ó O K a ó ǒ a i a n k p t F ù a G	grammatical
E a a S Z M Q i a p ú a J ó R I J a R Z b Z U S ù B ǔ ě o I u	grammatical
H a K o è Y h á è D a ó A H q a g k a m a e é t ǎ O C r e è F	grammatical
K H ě a G a n ě a w m K ó z k ǔ ó A y r B i N q F a ù a p ǒ q	grammatical
N ě ú ò a B a O à K L v a V a S l y r t Q Q Z ǎ s o a w ǔ j K	grammatical
Q ě o T r M P ǎ z é j a U s B è a é Y ú a N ǎ w z a C ò a A A	grammatical
T á ǔ t O k E z a ù p ó a K K è a T z M ǔ é G u a a b a W X ò	grammatical
W N é a a R X u a W w G s è V a y ě a B V ú é B v ó n n ǒ x T	grammatical
Y t ǒ o O S á a a u u w n H a z W h n B ò ò a X E v O C a T P	grammatical
a ǒ r ǒ a H s L a I u ù a y à U i v a l g a á H c s f Y g W z	grammatical
a O ù h E a ǔ p F M n a A D g a U i ě U i P è s V o a A è a S	grammatical
a a S z M a z y X a è C o a b h y ě w c ǎ Z o R q X X ó F y ǎ	grammatical
a n h i p s L a ǔ W è k l o k à z L B N ò v ě a M a O h a p r	grammatical
g Q I é y a H I a v g a ǒ O I p a ò ù O ǔ j Q x ù x a x ě N W	grammatical
j M r a V B Z y J a a M a a F ù x H M L J y M g T q L P Y v ó	grammatical
m è ò F j G ó J a p à a a X a t Q W q Q a j q r w K K P M Z j	grammatical
o j M y R V N X ú l ě V a H ù O ú S w m a W Z x Q V a W a x a	grammatical
r a o S i ǎ k G a G ǒ ǔ I a á ě s o ě a g a G S d ǎ J b u C y	grammatical
u a ó q ǒ H P V O R a a l k Q o ù a ǒ é i w C I o M D i a L é	grammatical
x a X ó a ě ǒ ú B M X t a E á k a ě T s h O O p a x c à a S B	grammatical
ù ù G N à r v g g ó à a b I ǔ S H V t l d F f ò X T Q x c B è	ungrammatical
á z G D x T d w c m i è ò Y z L K a w H f X G é Y U f è w J d	ungrammatical
é ú W q ò ǒ D z ú ě V J z b à y g p j Q a u c W ù e C X N z S	ungrammatical
ó F j q V ú ǔ K D Q a I P z X H m y h W P C p V C G w a é N ǎ	ungrammatical
ǒ a W l r X o V m ǒ B i t K g K ò D M x A U Q a b Y u g m y X	ungrammatical
B ù á l T g á T à ǔ J X y w I R á b ú t Q ǎ P g c H W h s I n	ungrammatical
D P G ú M J r M s S a è B z ó S ǒ w o k B è i K d E ǎ i f ò R	ungrammatical
G è U O L à v v g n è J m b G E U r ǎ Z y z C B E Z ǔ X o S k	ungrammatical
I z E D A I I T ǒ O á T à o Z M Q ǔ O b t K q A l B t s k x á	ungrammatical
L M ò B E é b è E ò j u w ǔ M v ǒ d A C I l h á w L C U M y A	ungrammatical
N u E q ú ǒ J ù à b I Z j E M Z w W R v T ǔ T d F d b O c K H	ungrammatical
Q U ǔ R ǔ V L W n u b u ǎ Z B b N ǒ ǎ R z é T f p ǎ M A f h w	ungrammatical
T ù M n q S ó ǒ F p d ǎ s ǒ K b ě W m V M w T N h l J l e V c	ungrammatical
V é Y Q x M Q ó h U N F N U P j U A à y à c h B v B Z Q l ò á	ungrammatical
X o R B I B ǎ ò q ú e w C z h ú é a c m R j K ǒ ě j ú t O ò d	ungrammatical
a C D m ù m H ǒ v ò ú w é h u k ù u è D N s e p U H I K m J e	ungrammatical
c l O A i E T x r D P ě é N ě ě y ù P Z P U y à y E l G ǒ F a	ungrammatical
f Y k è u E e ǒ F E g a B A z à q y M q d à à B è Y C ǔ z s I	ungrammatical
h v m v j C ú è s J s A n i h ú J á L p b d X ó j r R ó C K I	ungrammatical
k c A P V ǎ ù l F F v A H x ǒ x u w ó b c ǔ l W V ù R n P ǎ j	ungrammatical
n J V o B F J x s Z x a ù r v V t u n N e i v K k T ǔ ú e é D	ungrammatical
p Q d G X W b W M E H N x I G p a M S à k l d P z p l L ò c e	ungrammatical
r u d Z J Y I l z G a A U L R T s p C ǒ M R E u ǔ é B x Z S M	ungrammatical
u X ǎ E è è d V X H f z E u ǎ X e Q k U f q p Q D ǔ á p d l v	ungrammatical
x M T ǔ M Z v t Z W Q á G Q T U s ǔ C x G X h a ǒ à J B ú U p	ungrammatical
ù ǔ n D A z C U a V a C o L M a a J ù é h ò P v ǒ à a ǒ v R H A	grammatical
á a p o D U U a é n o á y Y a T s g U a J p L y O M g H a j ó f	grammatical
é K S á g ó ó i ó a r a w W g L a q p l a n T p G N a ǎ h j ě M	grammatical
ó ò k t ù ě D W a X v A Y V j ú L z p A Z O F à o a a i o a a H	grammatical
ǒ i ǒ N A o W i M m ù g T J p M u E a K a a u V a K a u R R Z U	grammatical
B p C S g o è I E q a n M a w a C I u a C C è y ǔ a S d ò S b é	grammatical
F ǔ F x S a a L O G O q a Y a x C è a P b d k J L I z U C P P k	grammatical
H r C r a x v X k ú K a é a ú o I i N G X A a a W o m B o a ú z	grammatical
K a u ě T C P F a q l a r o M y t o ú V k è a è O ò E a Q u U X	grammatical
N E R D ǔ ò a k X j a á T à y A ǒ i N a a N H r p p W I a P S f	grammatical
Q ǎ J a Y ú a R J r y é Z a á a J u Z N D ǒ T ú P s B Y è l N a	grammatical
T ě ò T v ò U J K G O W o B ù v ǒ a o j a a è a g é a c M F K B	grammatical
V X m X M I H h T a N ǒ a D O è F ù A ǔ D m Y B a à a m a E S p	grammatical
Y D k M ǒ t ú o ò h g X ò Z p l K a a n r k ǎ a X I X s a t a y	grammatical
a ǎ a ù è S T j N a H u ò ú a q ú ě s M l S ú ù a q á y Y O ě T	grammatical
a H J a s X ǒ s á a Q a è X ǒ x r o I V u U l y H x y g a B N ò	grammatical
a X L ó ó h a D T W D W ù N a w w j O é W T é t L X v a a g S b	grammatical
a j h F Q á ó a h H a m u é Q a v l é w à N i è a ó P M l ǎ c I	grammatical
g W Q t ú a Y a a x a ò K Q ò T m x ǎ A L t A è ù r v V y a z ǎ	grammatical
j Z Y i F a W p P O R A à g S l è w N p r ǒ a à a n y l F N a a	grammatical
m T a ò á à a U ó z x O A D a v C g a p G a m N ó Y p D ó é r o	grammatical
o p h w N P F K a Q l O r R v X T B a w T Y N a a v R i é G a s	grammatical
r a a s B a C ò o h u n a é a w h U ù m ě S ǔ Q L A L ú J ǎ w H	grammatical
u E l H a a t D o D x k a Y B ǔ a w a g m H R R l N u ǒ R ǔ K M	grammatical
w o g o à a a a w i n G ǎ ú B g a t a P M M ù G h t P v m Q g H	grammatical
ù ǔ ě K Z K x t à k ǔ q q B r N ǒ á E g r n G ú G U d b ó j à A	ungrammatical
á G b H I k r V U L ó e à g q h Q g é G p k b ú b ó ǒ é F á D J	ungrammatical
é ǔ y E ǎ é g P q O m J s Q o ú i T V e ò k q t x P ǔ l z z ú m	ungrammatical
ě v F é L x H d C n R à k ǔ Q m Q z n ò w N B v J z V ò m ǎ ù o	ungrammatical
ǒ P p U Z r U s x Z ó o z c g p á u à f S u t t W ò Z t O w F P	ungrammatical
A v S h a b k t X N ǔ q H ù N ú z W ě U M x J s m D M l B b ó k	ungrammatical
D Y M ǒ ǒ p K R u c A R ó T Y x á a à U O q d à D e m s J I I à	ungrammatical
G ě R o N i ǎ Z m é G Y ǎ z x g S d R A S J k ò j à H à H I a Z	ungrammatical
I H é Q u d O W X ó M r ě b u L ǒ ǒ ó n ò u r P D h T W k Y á S	ungrammatical
K x B R w F n x y O R d g c ǒ ó ù ó F i A Q g a e h d B f Z è e	ungrammatical
N i G z e R w ǔ é á p y N D A r o ò i N J N L G E é G l ǔ Z ù a	ungrammatical
P t ò U ù X z é A Z ǎ O ǎ J u W l J ò y F z á ù V Y Y v c j Z à	ungrammatical
S Q g x m e ǒ K j v f P é j f R M z z ù z ò n A y N y k M w J à	ungrammatical
V á X K t N P A ó P l c O ǒ r N l E T ú W y U a à m l L Y g N g	ungrammatical
X d P é g o r O y é B é O U a b b ě z à q f V e Y Z t M r B S i	ungrammatical
a F H U R u n s L à á U k á q C o F ò J v V a O a e y t v ě k P	ungrammatical
c i ò é V p a D q d W ě d r Z b I u é A d A U o a C h ǎ z S ú q	ungrammatical
f R r G D f h ě ǒ z r D z s f ǔ Q O H ù Q k K U w ǎ ǎ ò ò W ò O	ungrammatical
h j j d X i è V V d l V f x q ǒ J m á J a t y R d w ò w R O X ó	ungrammatical
k à C i T P à ó è k i B B G ǒ k ǒ w e o p p ù P q P ě ǔ x y Z G	ungrammatical
m n w è s ù V è l F k J t ǔ y V a F y a S e Q F f r J K J u M Y	ungrammatical
p k ó d d w C é X Z s j ǒ t E T c k r P b b á y B k s Q B S i i	ungrammatical
r h B v C b M a I ú s T W S è T W q V c h é ǒ j á t J K m A h q	ungrammatical
u N Y à ú s ǒ ò é é v W ó Z v B V R b U g á z A o A U F z m ǎ a	ungrammatical
x A G A è ù y g ú j x H l h à s a D n z U O L l è ǒ c y N Y S E	ungrammatical
ù ǎ D u M I A à X C a s a g R I K a z L G a E H o a Y T á P M Y m	grammatical
à F A U q u P v L T r Y E i A a è y a à a s Q h N I é à ǔ J ě a a	grammatical
é P k n X n l J O a l a a k k G g M ǒ i a A q Z w m o g U a à ó E	grammatical
ó D t ú y é n t u P a a r ǒ p a ú a à a á h p l g t p u x M ě ó z	grammatical
ǒ x B a h ù ò a p N G a W V o Y O ǎ é N ǔ n L J a è è y a g p ě t	grammatical
C ě a a g D a ó C è o a y é q s a ǔ d á E M o H M V ó r k Z X P O	grammatical
E m a H h é z è P y x a Q o z X t w a F a F s t ǒ T á g p s O h a	grammatical
H l a M Z ó F L a T Y a a ě r F a X m X D S I à M O è J à X y X X	grammatical
K X ǔ N M a a a q a a Z I k U è Z o r P L è C i q d Z m é A ǎ N J	grammatical
N G O ó a H r j Q z j a S k j a Z K S á B a q l ǔ p R s S T X L a	grammatical
Q B K A a o N a T u l a é ù ǎ s ǒ r V t a G ě a t v X G X z o T Z	grammatical
S h á s y t a Q a a G n Q M A p a o x a v ǎ C q R k è c T ǎ ǒ y h	grammatical
V h p l T n ù Y O ò g ě u a W u a J y W a n w m a r a X ǎ a g Z r	grammatical
Y S j r ù V X a H a w l u a H y v ǔ m Q è t Z j V ú j ó p s G a a	grammatical
a ě S è o Y i Q h à a V é H g a Z U U ò E o N P o a O I a A á ù c	grammatical
a K a s E á A D r A a a E s M S à l ù i s R à w P I F ú a ǒ O r z	grammatical
a X a u a m V X a M w x x y s U ó v m U ò n W ù ě n t C h x q a h	grammatical
a i a F à F Z H ò I o n a è ǔ r H á R ě M ǎ L a j ú L H ǎ R H a Q	grammatical
g à y p á ú G F p A y S Z a D ǔ B F a i X ù B y X v X á a ú a a l	grammatical
i q W g R m P A V v V E a k F q a ǒ à O k o O à l à O é è a a U a	grammatical
l a N ù X r j z ǒ k Y M y W W I W k á a H j t w E ǎ Y a a a x N u	grammatical
o a F ě T w q ù ǔ K a n a a é D F j ǔ B h k a S j ó ǎ j u n n ǔ n	grammatical
r O t a y Z i ǔ I m E O è P w K a á m p a è a v k B h a w F e t Y	grammatical
u ò ú r a a ú é M M a a I O ó s I a Z T u I N h W p k A d ú r l Q	grammatical
w t S C Z M w ó J ǔ a p J a é l z I p M Z R a Q C k é n a v W a u	grammatical
ù ǎ G F k w V ě P Q F C J o c O U s D D m p à e T U V m z S N b k	ungrammatical
á O C a s k r Q à é ó ǔ m R Z ò à P A R N a r ǎ ǔ J b f y D ǔ à à	ungrammatical
é ě ó U x G f I i f ǒ à ò F j j V ě C P q H r ò x s W Q g x s B ù	ungrammatical
ě i D F x E c ó w ó r f D d L Z a ò é z W O b á x U E g y F y h h	ungrammatical
ǒ G n E R v l Y A r c ǒ F w é N e j s ǎ y X m v y f C t T ú L j ò	ungrammatical
A U P j C z ó F w R I ú é G a f R ǎ z ě q d t Y a ǔ X d G k V i ǎ	ungrammatical
C y W V K M e j x G r F g A d p ú ù P f à c W á è K r L ǎ é L G q	ungrammatical
F B ò v H x à I p l u I G G ù T s x H a i à q s U w M e G H s r S	ungrammatical
H o K i w u R f Y b q o x V y à U D S Y C C p B K ó Y f E O ù A ú	ungrammatical
K W á y ǔ ù p i á S X S ó m o R ě b ó x q k á L H Y t Z C T ě P V	ungrammatical
N H ě o Q ǎ L O i E p t R á L l f ú b ǔ á ǎ R s ò J p k ú s g e q	ungrammatical
P w U n K e e ǎ G y n o o C R z ǒ w N p ǒ ǔ b è Z b G X u R l R v	ungrammatical
S O u J H E r J ě c W h O e ǔ r T l m x k ó ǎ O à b b k p S ò Y h	ungrammatical
V ǔ u F ǒ à d z W è E r Z á á v M i u m F M l O o H Q à ú c o h A	ungrammatical
X V r ǔ N c b y O J I a F q x q ò M p T G ó X è B G a ǔ U ò d W V	ungrammatical
a g é f D a ǒ ù H f è O ó H u r f U T x L x ù x N O z a ò S H O H	ungrammatical
d ǒ Y j g H i S U u V i l F T q s ě J P V ǎ T R W q T k u I H T k	ungrammatical
f U g x i n V S à s ú s Y ǔ P Q e P ǒ f Z á K t q d I y t G u x s	ungrammatical
i ù B t ě ě ú ě Z B m D s r U U J à A F b v Y C Q l N b y ǎ ó z è	ungrammatical
k d Q p p V s s n q è á J I Z o I a ě o v l q e u l U á Y ó é c m	ungrammatical
n ó H r s ǒ X L G d n A c r j è X ù K L ǔ q n é z H C c h ǔ u g D	ungrammatical
p S M q l B G F t y Z o h Y y ǒ ù S O t N S g E N f l G é Y B W y	ungrammatical
s E o r K p h é t v v z U V ǔ Z c ǔ f ó g Z k v b r à j X n C ù t	ungrammatical
u Z q é m S x R c a x N L n N f Z l J f Y ǒ T M j a m B ǔ ó b p e	ungrammatical
x è P O R E s S I f S b H à o S g w è E e w q A ǒ N á ǒ L Y c N z	ungrammatical
ù é á R a A W a a G ǔ t v W P i ú r C á F D O A z N P z a a s ǔ F i	grammatical
à ǔ T Y r x á ě s x P a ó q n a a C L ù q H P w a R ǒ ě a c D ǔ ú x	grammatical
é p à y T a à T Z a a E T W W y F ù z è l a j n k u Y ǔ k B a G m g	grammatical
ó W M á ǎ k R a S ó y H a W ó a ǒ a é a f f g g é P n à N ǒ l è r M	grammatical
ú W r l w N ú a n V T n q K a Z W u a a a X á t ǔ V t c J o m ǔ è ě	grammatical
C I J F Y T W m I O z B i a ě a R z ǔ a n M w a R é a q O é c l U q	grammatical
E o ò a a y á a X I M M J ě a ǒ T z X Y u H Q ù ù a Z P D P ě n h ó	grammatical
H i G ò O P a U U o a á t N B a L v a t F l a j E i N Z ǒ t à ó m ù	grammatical
K r a ò a L F o Z p a M K t á y I O x a Y á á T á a ǔ L I ǒ l O s F	grammatical
N a è U é a P J a y á J a ù W à w ǔ E h L ó y a c t m M V q a J ǎ y	grammatical
Q E H ě x a h a J k D ò I O h Z é J K y ò O ǎ C a T Q à a D j a c e	grammatical
S w k a h ù X a M a u r I J r a r x F ò w H x O X o B a U p s B j l	grammatical
V m n M a D g V ě I r a U t ú a i F P ó a é à a K u l I j O X ú V I	grammatical
Y V ù x k a N à T p j Q V S v a n Y y a a W G U ě y a w á ě z u è ù	grammatical
a è n Z a z a L S v y w p l ó ǔ z L u s ú y C O ù W ǔ z a x r L s a	grammatical
a J O I W B t ě o ǔ Y j U n n J t ǎ P a a t r è ù T a n a A S x ò C	grammatical
a Y j ó W g a r A w ǒ j I n N Q C u O n W S a F a q q a x T b H f K	grammatical
a l ú ǔ ú T s j P M ǎ a H V m ó A a Q n a a à v J è à y E w y H i b	grammatical
g S ǔ a A a I N V a ǎ é ò ú j a á T F Z V ǔ o P F a j O C f ù p z d	grammatical
j r I r j Q I C ò M a i w è p a P ú V K a n a n Z a G c Z C n o a W	grammatical
m a Y v a a E l z à x p h H a n x T T E k v ò F Z a f ó V e K Q B S	grammatical
p L u a k ǎ a o a r v à U A V a J w v E O q g t P N a ǔ m ò C d ě G	grammatical
r T ǎ Q a K B i h ù G N a Y a V W è à h ú x Y r u a B K C a q è K T	grammatical
t v y m a X t F ǒ ǎ u a a a ò B D p T R D o è ó F Z v A C a ú à B y	grammatical
x ù v h a a a è a R a H l j w T g P H V H á I á o R g c c à O q O Q	grammatical
ù ǔ W p o è S V v ǒ K ò P r ě f C w H l i s ó i f f ú V s R e W n M	ungrammatical
á Q K p r S à I v U U N D V h Z X t M b f ě K B s v ǒ J d ú S Z q v	ungrammatical
é ě J T K V t f d è s T ó w e v H F V c E ú V ù C i b Y M Q ǔ z ó ǎ	ungrammatical
ě q u c p p m n t t ǒ à ǔ é t w n è a G T X E F X Q é o W u l U O r	ungrammatical
ǒ D f c R E P n U Z y K x à ú T ù p v T O S a ú s ó b p f Y Q h I s	ungrammatical
A v g P D m ě N J ě u o E B J p h P L X j B è N P E á o W b D G E h	ungrammatical
D W c i v ǔ ú b M q R G a ǔ D a T c v B é d y t á á C B l a w E V w	ungrammatical
G I t K d b F Q à ò x m j ě b y X ù S k ǔ e é X e e p m d C y H Y z	ungrammatical
I q i u é P G Q è Y ó e f P z ó E k y U F é è á X y G X A S ò w s E	ungrammatical
L L X F q m g s O ǒ D k ò G B W x X c o ù f ò V G N á q M p G S a I	ungrammatical
O ǔ o p R M h ò f I x P E o d è T ǔ B D K x a ù w ǒ m ú H d z B E V	ungrammatical
Q c H ù N g á é b ú o W ǒ ě h d K X o N ǔ e C D á c h d U J ǒ ǎ o v	ungrammatical
T á c O è k S S A b é a ù g k m l M ǔ W I ù t j Y A J Z p q e Z W Q	ungrammatical
V d n ǎ q H A é ǎ t q K I p F m b v s E K U V w U é s z ó J i O H ǎ	ungrammatical
X z k h I h l h a u m à y d Q q B A R u s ó O v e U ú A x D i r C n	ungrammatical
b A ǒ u ù f X n k L P C ǔ M ě g ó S ǒ ó R h U g b m á v g Q t o w d	ungrammatical
d W q w w k ě G B F y ǒ s E è E J H F C X X s é Z o i m K ǔ L ú S ǎ	ungrammatical
f y ě V h P w w J J l N b V T z b S t l k v U Q n ǒ A Q B Q i W O D	ungrammatical
i ò ǎ q ǒ Z p B C u Q j H p c h s E p ǔ ě ó z t c w à m b ě P S X R	ungrammatical
k Q y G M ǒ E ǔ M c t ě è r l k V r m A H Z U R X S R ó A d k n X A	ungrammatical
n Y M a V J l Y ǒ c i M è d v A x ě y y ǔ B T Z l l A Y Y l ǔ J ǒ e	ungrammatical
q D H v b K b k t t n f R Q ù á h ǔ ù x e à K p u p à y Q O K g á t	ungrammatical
s a E A ě A X u D ǒ G n x n T ě j D ù n F F t Y ǔ Y N x J V à P S U	ungrammatical
