grammatical	ungrammatical
ù ù U P c a A R H w z a e m c á N a a y	ù ù U P e a A R H w z a e m c á N a a y
ǔ c ě a G T a ú J w a R O Y F P q q ǎ a	ǔ c ě a G T a ú J w a R O Y F P q q ǎ b a
à J i j V t v Y c ó a Y a J a M é N a V	à J i j V t v Y c ó a Y t J a M é N a V
ǎ c g k a a a W ó d a a K H g N T ǔ d ù	ǎ N g k a a a W ó d a a K H g N T ǔ d ù
è B n f n R à n à c F Z c a a a r a f u	è B n f n R à n à c F Z c ù a a r a f u
ě c a a k W E B d O c C ǒ a n a r è I X	ě c a a k W E B d O c C ǒ a h n a r è I X
ò J c y g ǎ E a r a i G á y a r W r a r	ò J c y g ǎ E a d r a i G á y a r W r a r
ǒ f u Y y e c ú a a f H a a M C W è S ò	ǒ f u Y y e c ú a a f H a é M C W è S ò
A c g B V a U u a M a X y a M q W Y h Z	A c g B V a U u a M a X i a M q W Y h Z
C ò c x a V O a ù ò ó s G a v a y c I O	C ò c x a V O a ù ò ó s G a e a y c I O
D c a R á t ú á s L a u a a H M F K l o	D c a R á j t ú á s L a u a a H M F K l o
F K v c ò ǒ a r a w u a F L o l R a s à	F K v c ò ǒ a r a w u a F h o l R a s à
H ò u f H S c w d i a a á a a X ú ě A N	H ò u f H S c w d i a q á a a X ú ě A N
I q L c Z Z f H a a d a U o O T a w H ù	I q L c Z Z f H B a d a U o O T a w H ù
K c a M ǒ B à Q a J ě F x d a P x p D a	K s a M ǒ B à Q a J ě F x d a P x p D a
M I u P j H ǔ C ǎ d S c g a a a q a D o	M I u P j H ǔ C ǎ d S i g a a a q a D o
N s ú o q L e c y a a ě a ǔ ě M Y ǎ a ú	N s ú o q L e c y a a ě U ǔ ě M Y ǎ a ú
P ě E ǎ i c Z x J á L a x q a f a ó W a	P ě E ǎ i c Z x J á L a x q b a f a ó W a
Q m x ù c a Y w à L a B à r è Q a u o a	Q m x ù c a Y w à L a B à r è Q a u o ǔ
S N v V c E r ò ú D K ò H a ò á a a a ǎ	S N v V c E r ò ú D K ò H a ò á a R a ǎ
U A Q v X P D b F r á U b B l b b F b b	U A Q v X P D b c r á U b B l b b F b b
V c a m H t Q q N ú O a m ǎ a à a à p q	V c a m H t Q q N ú O a m ǎ a à g à p q
X ǒ ù ǒ c a a B n Z y g o ú ò E a a x U	X ǒ ù ǒ p a a B n Z y g o ú ò E a a x U
Y k c a a ú E ù K ě é a D z D t a M S p	Y k c a a ú E ù K ě é a D z D t e a M S p
a M ò P à z c n a x a a a M k ǎ d B r y	a M ò P à z c n a x a a s M k ǎ d B r y
b c a P a a X M o y t a à é à é i b v T	b c a P a a X M d y t a à é à é i b v T
c ǎ q a a T s Y é a a J C M x è A v D y	c ǎ q t a T s Y é a a J C M x è A v D y
c B V n q ǎ á ú a p a Y M ě h a T a s V	c B V n q ǎ á ú a p a Y M ě h b T a s V
c H p A M a K G u a e v W a ǎ G a D O P	ǔ H p A M a K G u a e v W a ǎ G a D O P
c P á W ǒ Q a m w a ù G a ú n ǎ p a B ǒ	m P á W ǒ Q a m w a ù G a ú n ǎ p a B ǒ
c V ǎ n a a r R c E x ó a a k G x N A g	c V ǎ n s a r R c E x ó a a k G x N A g
c a B y u T V X R a d a ú L a K ò ǎ z G	c a B y u T V X R ǔ d a ú L a K ò ǎ z G
c a a h a O B n á ù P E L a l ù ò X ó Z	c S a h a O B n á ù P E L a l ù ò X ó Z
c e A a ě A o á a g s é R s a L K a é v	c e A a ě A o á a g s é R s a L K R é v
c l h O a z a l a x H a b t J ù E u D S	c l h O P z a l a x H a b t J ù E u D S
c r t x r a a C à J k F ǒ a V a é k Q L	c r t x r F a C à J k F ǒ a V a é k Q L
c y w ǔ D i é C Y e e a Z x a a L D G a	c y w ǔ D i é C Y e e a Z x a a L D G à
e Z I R v c p C a a j h T a x J T t a à	e Z I R v c p C ù a j h T a x J T t a à
g G ó è c ó f G a a ú a Z V l a Z V u G	g G ó è j ó f G a a ú a Z V l a Z V u G
i E K c N v m h g z a X D O ó C L a a a	i E K c N v m h g z x X D O ó C L a a a
j r ú t y k é c Y u M m a a j ú L a a è	j r ú t y k é c Y u M m a a j ú L r a è
l v G p X f è l K c a r a F x a a K r T	l v G p X f è l K c a r a F x I a K r T
n c H n S j à Z s M ò a V I p a c a a o	n c H n S j à Z s M ò a V k I p a c a a o
p á è A A j Q c S a a è ǔ u B a a U O ú	p á è A A j Q c S a à è ǔ u B a a U O ú
q c a K à o t a T Z ǒ A I C o x d a Z a	q c a K à o t a T Z ǒ A I C o x d a Z b
s M j R u C a c c ǔ a w a a a i a d p Q	s M j R u C a c c ǔ ǔ w a a a i a d p Q
u è E i c I j G g a P J a ú T J a a d é	u è E i c I j G g á P J a ú T J a a d é
v l p N c a a ǎ J o a B E I m ó ù M D a	v l p N c a a ǎ J o a B i E I m ó ù M D a
