grammatical	ungrammatical
ù a a a G k t T é n ò L r X l S R I ú x l	a a a G k t T é n ò L r X l S R I ú x l
ó a a a ú è ǎ s P ǔ A b I P I e X q H Y o	a a a ú è ǎ s P ǔ A b I P I e X q H Y o
F a a a ú t X é q ù á h h x k è m h O L ǒ	a a a ú t X é q ù á h h x k è m h O L ǒ
N a a a T K N g M j à ǔ a z l o j j ǔ y C	a a a T K N g M j à ǔ a z l o j j ǔ y C
U a a a T I à I L n l ò Y Y g F C I ó Q h	a a a T I à I L n l ò Y Y g F C I ó Q h
c a a a ě V C A q d E G ǒ A D g Q T g Z c	a a a ě V C A q d E G ǒ A D g Q T g Z c
i a a a I ǔ J l c t z è s Q r y Q ò a O ǔ	a a a I ǔ J l c t z è s Q r y Q ò a O ǔ
p a a a ǒ R Z ě u j è L x ù W T q u ǎ q Q	a a a ǒ R Z ě u j è L x ù W T q u ǎ q Q
x a a a F j ú t H Q é ǒ ǎ k r x y N M d S	a a a F j ú t H Q é ǒ ǎ k r x y N M d S
à a a L V G T b b ě ǎ N n x t s c u z v	a a a L V G T b b ě ǎ N n x t s c u z v
ǒ a a P J w e ù à h i F B q R m K w H U	a a a P J w e ù à h i F B q R m K w H U
F a a N ó S t b q W m f u w g h O J è ǔ	a a a N ó S t b q W m f u w g h O J è ǔ
N a a X k m C C j á N y w è h ǔ y x n ú	a a a X k m C C j á N y w è h ǔ y x n ú
U a a P Y G ǔ J a ǒ ě e p T G k Z p f f	a a a P Y G ǔ J a ǒ ě e p T G k Z p f f
a ǔ a a A t E b U A Q J T d w V I é M I A	a a a A t E b U A Q J T d w V I é M I A
a ò a a X e t à H U á G y E f b t x n y e	a a a X e t à H U á G y E f b t x n y e
a E a a ǒ è f g ù f ě ě è m h N t f d b N	a a a ǒ è f g ù f ě ě è m h N t f d b N
a M a a g f o H h h é x L t i ù M t D V l	a a a g f o H h h é x L t i ù M t D V l
a U a a r Z i E o c ǎ E D U ǔ R b c B ó F	a a a r Z i E o c ǎ E D U ǔ R b c B ó F
a c a a I J t ú L y N W T ǔ m n l Q v ú ò	a a a I J t ú L y N W T ǔ m n l Q v ú ò
a k a a T w w r Z L K s y K H ě C y b O t	a a a T w w r Z L K s y K H ě C y b O t
a s a a w y F J ò q l á X p U T á ò n E s	a a a w y F J ò q l á X p U T á ò n E s
a a J v Z U y i E j M v c O V r J o n	a a a J v Z U y i E j M v c O V r J o n
a ě a v ě ò D é U C I n c O x b N i l T	a a a v ě ò D é U C I n c O x b N i l T
a F a j k U p O e y B m n ǔ ǎ P z ò Z é	a a a j k U p O e y B m n ǔ ǎ P z ò Z é
a M a N a I h N á Y F ǔ N ǒ z ǔ s G l Z	a a a N a I h N á Y F ǔ N ǒ z ǔ s G l Z
a U a z F T ǎ ú G D x x D á x l x a ǔ l	a a a z F T ǎ ú G D x x D á x l x a ǔ l
a a á a O i N á p O h ó m ǒ v J Y ó ó w C	a a a O i N á p O h ó m ǒ v J Y ó ó w C
a a ǒ a ú Z z p d L m A Y w o I ó r B E q	a a a ú Z z p d L m A Y w o I ó r B E q
a a H a T X F O S c u U N è ú m d W v à é	a a a T X F O S c u U N è ú m d W v à é
a a Q a H ǒ u p è ě g D r q p y w Z m Z ò	a a a H ǒ u p è ě g D r q p y w Z m Z ò
a a X a k K p u ě Q f T m w o U I t g M d	a a a k K p u ě Q f T m w o U I t g M d
a a h a ě ò t v é C n f ǔ M F T o à v k u	a a a ě ò t v é C n f ǔ M F T o à v k u
a a n a f i v I w U b k H h i ò ú g R ě c	a a a f i v I w U b k H h i ò ú g R ě c
a a v a U m u Y Z F J A K I E H U L O E j	a a a U m u Y Z F J A K I E H U L O E j
a a à ǔ K W ǔ g o ǎ X f P é m S l P ò A	a a a ǔ K W ǔ g o ǎ X f P é m S l P ò A
a a ú E X ě M L T a s V i á e U I o H H	a a a E X ě M L T a s V i á e U I o H H
a a H K ǒ u H L ú b P ǎ b k ǒ b G o n B	a a a K ǒ u H L ú b P ǎ b k ǒ b G o n B
a a P I e F B J D ó J p A S ú N L N H c	a a a I e F B J D ó J p A S ú N L N H c
a a W m h w T d g ù K ò a R M G r w U u	a a a m h w T d g ù K ò a R M G r w U u
a a c b J A x N K ó j à O w g ǒ X i k W	a a a b J A x N K ó j à O w g ǒ X i k W
a a j y B é Q j f k H A P T ǒ z c k z ó	a a a y B é Q j f k H A P T ǒ z c k z ó
a a r s s Y d s o a F f m x m ó E m v d	a a a s s Y d s o a F f m x m ó E m v d
a a z ě E ǔ m U K v l ù R S H r y K D ù	a a a ě E ǔ m U K v l ù R S H r y K D ù
a g a k Q n ě u z V v o m t k T p V j p	a a a k Q n ě u z V v o m t k T p V j p
a n a b V á è t a s E u B K M T v D a q	a a a b V á è t a s E u B K M T v D a q
a w a A j I ě T ǔ N l U ù à Y p s C ù X	a a a A j I ě T ǔ N l U ù à Y p s C ù X
e a a è J N ǒ c C i C Q D R Y G j c é ǎ	a a a è J N ǒ c C i C Q D R Y G j c é ǎ
l a a v é ě è p d t y T w h U D R o d ǎ	a a a v é ě è p d t y T w h U D R o d ǎ
s a a ù ǔ G G T G b G T O r ǔ C ě y k x	a a a ù ǔ G G T G b G T O r ǔ C ě y k x
ù a a a S ù e e f o d V ǒ n s H y K j Y R Y	a a a S ù e e f o d V ǒ n s H y K j Y R Y
ó a a a S R x à J M v T E v ú U L v N g W v	a a a S R x à J M v T E v ú U L v N g W v
