grammatical	ungrammatical
ù ǔ T H Y a Z N g F ǒ O é ǔ E d c g n u	k ǔ T H Y a Z N g F ǒ O é ǔ E d c g n u
ǔ C a U é è M ǒ m N G f b Z u d Q f k A	ǔ C B U é è M ǒ m N G f b Z u d Q f k A
á ǎ Y a R A é N R H B z p w Z R l ǎ è ě	g ǎ Y a R A é N R H B z p w Z R l ǎ è ě
à B o O ó M K o Q ó o r a c V b c S o W	à B o O h ó M K o Q ó o r a c V b c S o W
ǎ D a o S Y P c á k m n r ǎ L ó C e ò v	ǎ D X o S Y P c á k m n r ǎ L ó C e ò v
é R s L y a a è B Z E M ǎ I B E ú s A v	j é R s L y a a è B Z E M ǎ I B E ú s A v
è n a f i A ǒ m c ǔ D q X à W O r G j U	è n y f i A ǒ m c ǔ D q X à W O r G j U
ó á ǎ x T K O a á S ú D k T à E ó B R Q	ó á d x T K O a á S ú D k T à E ó B R Q
ò ó F E q S a ò t b è t ǔ W E T ó f u i	ò ó F E q S J ò t b è t ǔ W E T ó f u i
ǒ I T S z U n D L A K u G è S V ǒ a à H	ǒ I T S z U n h L A K u G è S V ǒ a à H
ú K a F B i W t S k ǔ V K r b o n e à H	ú K l F B i W t S k ǔ V K r b o n e à H
A W u ù A a à P X X v p z L H f W h V j	A W u ù A U à P X X v p z L H f W h V j
B a I l à V f n r l ù è C M M Q ù n Z D	B j a I l à V f n r l ù è C M M Q ù n Z D
C a n W O h e B e q à S z I è n w i s y	C C n W O h e B e q à S z I è n w i s y
D y Z a y ǎ f L F p ó j b d á N k ó à y	D y Z T y ǎ f L F p ó j b d á N k ó à y
F ǎ r y u ǒ Q B a i o v h U R ǔ ě Y S z	F ǎ r y u ǒ j B a i o v h U R ǔ ě Y S z
G D u a n t C ó u i ú R n v x B d ù ě Y	G D u á n t C ó u i ú R n v x B d ù ě Y
H L B F a ě B á T m N R ó F á U O w c Z	H L B i F a ě B á T m N R ó F á U O w c Z
I I ó ù à ǒ ě u P ù a é J g F s R w z z	I I ó ù à ǒ ě u P b ù a é J g F s R w z z
