grammatical	ungrammatical
ù á m N S E c ě Z e m O X C è M e Y t e	ù á m N S E c ě Z e m g X C è M e Y t e
ǔ ǒ ǒ b J S H é I ó Z á a è h K m h D b	ǔ g ǒ ǒ b J S H é I ó Z á a è h K m h D b
á I a h Q j G Z y N O X V Q L F Z k y w	á I a h Q j G Z y N O X V Q L F Z k y w g
à k N o g J x S K A W v ó a N T b H c g	à k N o g J x S K A W v ó a N T b H c d
é ù v T H ǔ G ǔ A K x m Z ǔ é ú ǎ w H ě	é ù v T H ǔ G ǔ A K x m Z ǔ é ú ǎ g w H ě
è U Q Q w x W s T U q á V b é b U u ò v	è U Q Q w x g W s T U q á V b é b U u ò v
ě i v I I u k b i x ě H N D z i A q t P	ě i v I g u k b i x ě H N D z i A q t P
ó y L I n C z ǎ H F k n f ě B r L c ò o	ó y L I n C z ǎ H F k n f ě B r L c ò g o
ǒ J C d e l á c à P e z i Z V á n l à K	ǒ J C d e l á c à P e z i Z V g n l à K
ú d ó j L O H y a X á N K e ě ǔ J T w Z	ú d ó j g O H y a X á N K e ě ǔ J T w Z
A w D F W X t y ó e h t e á A I ǔ n E z	A w D F W X t y ó e h t e á g I ǔ n E z
C R Q A T M z q U x R V Q F z é ó k I N	C g R Q A T M z q U x R V Q F z é ó k I N
D i é G N ú u C Q M a ě á o f M b r D h	D i é G N ú u C Q M a ě g o f M b r D h
F ù M c M ú ǔ T b ò b x Q K ǎ y x é P F	F ù M c M ú ǔ T b ò b g x Q K ǎ y x é P F
G ò C ǒ t W y E a C Y u N j ǎ l H N X à	G ò C ǒ t W y E a C g u N j ǎ l H N X à
H I R ò T E è E W w k j n y é è S F G N	H I R ò T E è E W w k j n y é è S F G g N
I U H H K J s q T à X a K h q f T U á b	I U H H K J s q T à X a K h q g f T U á b
J h m i l b S U Q C k G N s f N B c ú ǔ	J h m i g l b S U Q C k G N s f N B c ú ǔ
K j g K g ǎ e a n V G ò ǔ U ó p K n F j	K j g g g ǎ e a n V G ò ǔ U ó p K n F j
M F ù i V c á P w r u e S B h P e L Y q	M F ù i V c á P w g u e S B h P e L Y q
N f t n E Z M S V d k C t Y é O m j N á	N f t n E Z M S V d k C t Y é O m j g N á
P C X I N q c U O a L p à N è Y R e W é	P C X I N q c U O a L p à N g Y R e W é
Q N S p W A e ó L ò W T ǒ A G U W ó á v	Q N S g p W A e ó L ò W T ǒ A G U W ó á v
R l à Z z a L m W C p W C T y O t R v x	R l à Z z a L m W C p g W C T y O t R v x
S v O è Q à v ù B E O é ò C T è Y J W v	S g O è Q à v ù B E O é ò C T è Y J W v
U G s j N è e c f á U H x ě ù R ě F è Y	U G s j N è g c f á U H x ě ù R ě F è Y
V J W G V Q v m p H e ě r t X A à x v O	V J W G V Q v m p H e ě g t X A à x v O
W e V A a r t v P è j E L X T Y T o Z A	W g V A a r t v P è j E L X T Y T o Z A
X q n f N W M r B H K y ǒ A ù O ù á s t	X q n f N W M r B H K y ǒ A g O ù á s t
Z ú B è j ù O N A J Z u u Q V k r q Z V	Z ú B è j g O N A J Z u u Q V k r q Z V
a Q n o B d q A w N I b ǒ O C Z E F t u	a Q n o B d q A w N I b ǒ O g C Z E F t u
