grammatical	ungrammatical
ù ù z C I ǒ q z k R U u t C y o d x X B	ù ù a C I ǒ q z k R U u t C y o d x X B
ǔ ǒ r Q T V j Z è W q O J L c v z m U e	ǔ ǒ r Q T V a Z è W q O J L c v z m U e
á ě l B j B x m R ù a R y ě ó Z b M j ǔ n	á ě l B B x m R ù a R y ě ó Z b M j ǔ n
à C V n U b Q I R ò v ǔ q m ǒ Y a K i é	à C V n U R Q I R ò v ǔ q m ǒ Y a K i é
ǎ Q ú n V a Z P a J ǒ A H x i R D e é O x	ǎ Q ú n V Z P a J ǒ A H x i R D e é O x
é p y m N p M N ě x ó M X w V ú q h y a K	é p y m N p M N ě x ó M X w V ú q y a K
b ù P U X J L a ú s K M i E h A ù s Y h	ě ù P U X J L a ú s K M i E h A ù s Y h
ě w J E O ǔ p A ú l O i á N b a ǔ K T w	ě w J E O ǔ p a ú l O i á N b a ǔ K T w
ò ú L X s ú I ó à V q h F ě A X T u é c	ò ú L X s ú I ó à V a h F ě A X T u é c
ǒ P C l N H v R è à C c O h l S P O F é	ǒ P C l N H v R è a C c O h l S P O F é
f ú o ò F n q a w P G h g v J A L N f ú ǎ	ú o ò F n q a w P G h g v J A L N f ú ǎ
B à L ě ú ǔ m R a a G S M x B O g l t O ě	B à L ě ú ǔ m R a G S M x B O g l t O ě
C ú K M M F k l ú a C N x é M M è g G l	C ú K M M F ǎ l ú a C N x é M M è g G l
D F H D è u ó Y B i O T M U á ù q a ù Z g	D F H D è u ó Y B O T M U á ù q a ù Z g
E K u a B J E O I á L N M v ò L s E B a	E K u a B J E O I á L N M v ò L s c B a
F S a J c G t t T q X q N J b b é s W r ó	F S a J c G t t T q X q N J b é s W r ó
G r ó t j T S E a o s ǒ à é D D G L B J	G r ó t è T S E a o s ǒ à é D D G L B J
I ǒ a V Y C f H á f m M W v C ó E x V Z Y	I ǒ a V Y C H á f m M W v C ó E x V Z Y
J H ó l E N z ě C a a ǒ G D à i P ó à z	J H ó l E N z ě C a ǎ ǒ G D à i P ó à z
K T T k O a r l n f B y é c ǎ ù ě k f L	K T T I O a r l n f B y é c ǎ ù ě k f L
L a U A ù O z p b M L à ǎ b G S E g A C	L a U A ù O z p b M L à ǎ M G S E g A C
M v I b R ǒ D Z ú z é X y J Q a u B ǎ ǎ G	M v I R ǒ D Z ú z é X y J Q a u B ǎ ǎ G
N x z O r c z V t I V ě O a K k m D A ò	N x z O r W z V t I V ě O a K k m D A ò
P C u U p M ù q C à G ú l j E ò J w r n	P C u U p a ù q C à G ú l j E ò J w r n
Q h q O q a ó D g c T B F P m i Z w A á	Q K q O q a ó D g c T B F P m i Z w A á
R T à á H Q E è à g a d C m ǎ X q y h i	R T à á H Q E è à ù a d C m ǎ X q y h i
S v ǎ R y L J g U ó r a Y u é B f p n á ě	S v ǎ R y L J U ó r a Y u é B f p n á ě
j y U A P a M Y j l Y r y O A X r p T u	T y U A P a M Y j l Y r y O A X r p T u
U v d x F ě ǎ t V l ě A a d H h Z è t M	U v x x F ě ǎ t V l ě A a d H h Z è t M
V x s j x a x v f ǔ L F u D Z T Q è G j D	V x s x a x v f ǔ L F u D Z T Q è G j D
X é d U ě t Z k C r y C Y n M N f t O ó	X é a U ě t Z k C r y C Y n M N f t O ó
Y M ǔ ǔ S m á m P L D S B ě A A p u H á	Y M ǔ ǔ S m á m P L D S B ě A A a u H á
Z K W J g E L J ó D a ǒ K ó o ǔ O ǒ g q	Z K W J S E L J ó D a ǒ K ó o ǔ O ǒ g q
a é H o a q á F b L c M à ú y T C ě ǔ	a é i H o a q á F b L c M à ú y T C ě ǔ
u F f g l L r w m u á M V n h P j p I E	a F f g l L r w m u á M V n h P j p I E
a Q o ú t r Y l W r P G F X D z a s K p	a Q o ú t r Y l W r P G F X D z j s K p
b f x Z o à à w q L ě V L F X g ò D S r	a f x Z o à à w q L ě V L F X g ò D S r
H s E g u ǎ ě Y X o z á e ǔ y d v N O u	a s E g u ǎ ě Y X o z á e ǔ y d v N O u
l W W I T O D n i p e X à g i h D F é O	l W W I T a D n i p e X à g i h D F é O
j m l K n X P V Y B ǔ a X M T i n N t J s	m l K n X P V Y B ǔ a X M T i n N t J s
n o n M m R Y q T U ǔ I ǎ w X B B C q à	n o n M m R Y q T U ǔ I ǎ w X B a C q à
o t A t o o é n M D ú b G n r I m T Y V a	o t A t o o é n M D ú G n r I m T Y V a
q ǎ Z Y B a z W à T W e U J e V A F N G	q ǎ Z Y B a z W à T W W U J e V A F N G
r A H E ò K L A é y q o ě q V J z L ò i	r A H E ò K L A é a q o ě q V J z L ò i
s a S J F a N z S X ó u B é Q ǒ B G t ó V	s a S J F N z S X ó u B é Q ǒ B G t ó V
t n K s ǔ y E ě b o é B T ǎ p R B a S C	t n a s ǔ y E ě b o é B T ǎ p R B a S C
k u x a Y v o E ò P T ò G q v Z K l è u L	u x a Y v o E ò P T ò G q v Z K l è u L
w A k F a D A k ǎ v N M á a y á Z t z b S	w A F a D A k ǎ v N M á a y á Z t z b S
j U a p J D ó H d A A z B W ǒ S g k s n	x U a p J D ó H d A A z B W ǒ S g k s n
d m X n á U Z p l à a ò F á N c p D n N	y m X n á U Z p l à a ò F á N c p D n N
ù ù m e R a E S b j e Z R ò ě r O á y ò E	ù ù a e R a E S b j e Z R ò ě r O á y ò E
ǔ D w P á T q p ǔ Y ǎ z S ǔ ó à h j M L h	ǔ D a P á T q p ǔ Y ǎ z S ǔ ó à h j M L h
á K n A m a s a ǎ á u i d n n u à b K G q	á K n A m a s O ǎ á u i d n n u à b K G q
à m x L J ǎ g ó W a P H P E n E s g ǒ t j á	à m x L J ǎ ó W a P H P E n E s g ǒ t j á
é à M o è b X A C é a n ǎ Z e s A k p i S i	é à M o è X A C é a n ǎ Z e s A k p i S i
è b F u R M N a à i b O G ǒ p J à H ǎ E z U	è F u R M N a à i b O G ǒ p J à H ǎ E z U
ě M a v ò u P S F a K F V I b l D ò à N G	ě M r v ò u P S F a K F V I b l D ò à N G
ó a ǔ d o S Z Z V K à ò d R A f o x l n B b	ó a ǔ d o S Z Z V K à ò R A f o x l n B b
ò o L z o N p K M z ò ó k B N Z V q N è l	ò o L z o N p K M a ò ó k B N Z V q N è l
ú ǔ ě Y u c e ě J à a H n c k d n h l C j	ú ǔ ě Y a c e ě J à a H n c k d n h l C j
A ǒ è R y H I l f y D ó á p a l K O B L J	A ǒ è R y H I l ǒ y D ó á p a l K O B L J
B ě E T C á ó y ě ù p t T M J a è R T I a	B ě E T C á ó y ě ù p t T M J F è R T I a
C f ó G ě O a A f à ù Q h à i e è p ǔ X ò F	C ó G ě O a A f à ù Q h à i e è p ǔ X ò F
D L M J u è b f U r é ò q d N O C à M J è	D L M J u è a f U r é ò q d N O C à M J è
E h A ǎ m à D l a Y W M T t u ǔ ǎ ǒ è L ǒ	E Q A ǎ m à D l a Y W M T t u ǔ ǎ ǒ è L ǒ
j F m l l C Y Y è M x F D ǔ G a ǎ s ò f P á	F m l l C Y Y è M x F D ǔ G a ǎ s ò f P á
G z J U L g è v P x D P s a c G Z z O ǒ q	G z J U L è è v P x D P s a c G Z z O ǒ q
I f t U r W p ǔ V z K a P c t j é p z x H	I ú t U r W p ǔ V z K a P c t j é p z x H
J T y L f l a á g Z e M j h h Q G ó U z j z	J T y L l a á g Z e M j h h Q G ó U z j z
K ó T f e t á k J l é f m F h d u T x f d	K a T f e t á k J l é f m F h d u T x f d
L a y Q d F a p f f x j u N ǒ T K I s I C	L a y Q d F a p f o x j u N ǒ T K I s I C
M r V H p h f G Q J X l e N J C y r p r c	M r V H a h f G Q J X l e N J C y r p r c
O g Z E O a ú p H n ě g f h s ú N ǔ ǔ g t	O è Z E O a ú p H n ě g f h s ú N ǔ ǔ g t
P H è b a i ǎ b d S Q R X q V p f á ó r m	P H è t a i ǎ b d S Q R X q V p f á ó r m
Q Q i ù M A o ó z E è m I a w n b ò o f I e	Q Q ù M A o ó z E è m I a w n b ò o f I e
R V c n x n ǒ Q C l O à a k J ú I H M ǔ ǒ i	R V n x n ǒ Q C l O à a k J ú I H M ǔ ǒ i
S T ú K b a J u é V t G I B n k P Z S P p	S T ú K m a J u é V t G I B n k P Z S P p
T s l ǒ u è M E z X à X G V H ǒ C Z O ù Z	T s l ǒ a è M E z X à X G V H ǒ C Z O ù Z
V ù F ǎ a à b K Y p z è ǎ x H b u a z J x t	V ù F ǎ a à b K Y p z è ǎ x H u a z J x t
W c a Y V ó U T s R m T e i à y p t u W Y	W è a Y V ó U T s R m T e i à y p t u W Y
X c L p u t ú L w a á ù U Y D T ě w ò F C u	X L p u t ú L w a á ù U Y D T ě w ò F C u
Y T y ù K E U a N f u f Y j l I m K K ǔ Y h	Y T y ù K E U a N f u Y j l I m K K ǔ Y h
h a z M e K C Z c k p ě u M s P F T R m ǔ	Z a z M e K C Z c k p ě u M s P F T R m ǔ
W ě u l p t m h E L è F M d t j é m L r Z	a ě u l p t m h E L è F M d t j é m L r Z
a I Q ó H a y C R ǎ ó O ǒ R A T Z é v ù ǎ	a I Q ó H J y C R ǎ ó O ǒ R A T Z é v ù ǎ
a X ě a r n U I P è C ě S l u h F l L K ó	a X ě L r n U I P è C ě S l u h F l L K ó
ú k L x ě n é ǎ n B L k L i M u o Q z Z o	a k L x ě n é ǎ n B L k L i M u o Q z Z o
ǎ y ù H U C j x c v o k c ó P ǎ v N ù ǔ à	a y ù H U C j x c v o k c ó P ǎ v N ù ǔ à
l a ú a ǔ Z ě w t X F d R é H f á s r B B	l w ú a ǔ Z ě w t X F d R é H f á s r B B
n ǒ k è m G G W a l r L Y C á L Z R n s ě à	n ǒ è m G G W a l r L Y C á L Z R n s ě à
o K O V c ò a s r w V n k ǒ c ǔ Y Q ě t ǒ E	o K O V ò a s r w V n k ǒ c ǔ Y Q ě t ǒ E
p V I E b N Y F f y h P W r C N m E é ǔ U	p a I E b N Y F f y h P W r C N m E é ǔ U
q n n q z j ó ě ò n a h j V ǔ Z d C ǔ v b	q n n q z l ó ě ò n a h j V ǔ Z d C ǔ v b
r v C N Y ě O ù I S M ǔ l H ù r i Y G v T	r v C N Y ě O ù I a M ǔ l H ù r i Y G v T
t h á N D B ù C ú W t L à P a ù ù n T X i	t F á N D B ù C ú W t L à P a ù ù n T X i
u M Q Z s W V t H j ǒ X H V k N G ò V f S	u M Q a s W V t H j ǒ X H V k N G ò V f S
v S g P a z H e V x s H à n G ǒ x v C ǎ x	v S I P a z H e V x s H à n G ǒ x v C ǎ x
w f ó K B Z r à u ú x è è ú ě c e z ě v	w a f ó K B Z r à u ú x è è ú ě c e z ě v
x r g a S j ó y R P G F e U Z v K L z W S m	x r a S j ó y R P G F e U Z v K L z W S m
y w j a M k q X d y ě ǎ ǔ i T é é J R V m	y w E a M k q X d y ě ǎ ǔ i T é é J R V m
ù h é r W A s s Y r M V a N e è I b n m L L	ù ù é r W A s s Y r M V a N e è I b n m L L
ǔ O R a c t M o i O C d o d A K O I V y n ǒ v	ǔ O R a c t M o i O C o d A K O I V y n ǒ v
á V T F J t U n Z R B O à V Q i g L é e g q	á V T F J t U n Z R B O à V a i g L é e g q
à t v D s S f I o a W ǔ ǎ z q R m B B C L X á	à t v D s S I o a W ǔ ǎ z q R m B B C L X á
j ǔ U a v l X P W V o à ě U t k T d x Z ù S	é ǔ U a v l X P W V o à ě U t k T d x Z ù S
e ǒ a y W I B T S z à g p J P h ǒ b Z V K S	è ǒ a y W I B T S z à g p J P h ǒ b Z V K S
ě I V j A m ǔ ǒ a é t f è ǒ o y S d J c y y d	ě I V A m ǔ ǒ a é t f è ǒ o y S d J c y y d
ó f h A H x J M é ù B ò I n w Z P ó r k u G	ó a h A H x J M é ù B ò I n w Z P ó r k u G
ò o ù o E Z q z e V U Q a á Y s e g t ě ǎ x	ò o ù o E Z q z z V U Q a á Y s e g t ě ǎ x
ǒ v ǒ m i J h P Z Z m P q u e ó à ú Z Z l N	ǒ v a m i J h P Z Z m P q u e ó à ú Z Z l N
A ǔ ò à ǒ á ú g r v Z w r x s V q a y E W é	A ǔ ò à ǒ á ú O r v Z w r x s V q a y E W é
B ú D è L a a é W D A C L K x V f I n g t X ě	B ú D è L a é W D A C L K x V f I n g t X ě
C D R p q ǒ X n l Z á q q N a é P m x s H a A	C D R p q ǒ X n l Z á q q N a é P m x s H A
D R m R E u M e Z ò U ó a I i N ó g f p m S	D R m R E u M m Z ò U ó a I i N ó g f p m S
E U p C u Y q G E h y N B G ú D H ǒ Z f k l	E U p C u a q G E h y N B G ú D H ǒ Z f k l
F B g B Z u r k F Q a I y C d e O C c E B R	F a g B Z u r k F Q a I y C d e O C c E B R
G Z V R b ò a T J y v g d D á H J f Z ǒ á W	G Z a R b ò a T J y v g d D á H J f Z ǒ á W
I è H T h ó Q I T Z e S s B è x I K ǒ H b m	I è a T h ó Q I T Z e S s B è x I K ǒ H b m
I z J d S I c Y P a è Z W V B T q g I e z B	I z J a S I c Y P a è Z W V B T q g I e z B
K à y u á T N w E q p n K m ò B ǎ t ǒ á E l	K à y u á T N w E q p n K m ò B ǎ t ǒ á E a
L g p O x a T J ò è I y ú y W o t p è n L ǎ	L G p O x a T J ò è I y ú y W o t p è n L ǎ
M L Q L X Z k D ó ǔ a t e M C f á e P D B ó F	M L Q L X Z D ó ǔ a t e M C f á e P D B ó F
N S v W F V a U v a ě y i h y U R x G à ě B a	N S v W F V a U v ě y i h y U R x G à ě B a
O h l U K ó a p O S o Y V à t A ó U é t H W q	O l U K ó a p O S o Y V à t A ó U é t H W q
P s j Z F ǒ K w O Q ǒ J ǒ H z H y B H ǎ b t	P s a Z F ǒ K w O Q ǒ J ǒ H z H y B H ǎ b t
Q u G B s G y Y à ǒ V X k P U L ě ǎ z G d é	Q u G a s G y Y à ǒ V X k P U L ě ǎ z G d é
S A G O e T á N a q q E W m n á D e m s y O	S A G O z T á N a q q E W m n á D e m s y O
T X z D r V l M x ù s s q b G D E è G i E p	T X z D a V l M x ù s s q b G D E è G i E p
U m w W g M w C m M M H Z O N l L k r d p i	U m a W g M w C m M M H Z O N l L k r d p i
