grammatical	ungrammatical
ù à R è Z ú q a A W J j t u d Q r g ě R	ù à R è Z ú q a A W a j t u d Q r g ě R
ǔ S D x ù m W k n F J U P ǒ a g j o D w	ǔ S D x ù a W k n F J U P ǒ a g j o D w
á w P q a M u s S S ò q F K à A i b U ǒ	á w a P q a M u s S S ò q F K à A i b U ǒ
ǎ E N H X s Y Q T ó u J è ú b Q V p w a	ǎ E N H X s Y Q T ó u J è ú b a V p w a
é U U F k ǔ m w p h M N a F v g à C z I	é U U F a k ǔ m w p h M N a F v g à C z I
è i r G y Q R R c b H p g J M r t à a o	è i r G y Q R R c b H p g J M r t à a a o
ó B f l i l S r E E G à Z g y ǎ ú v X a	ó B f l i l S a E E G à Z g y ǎ ú v X a
ò Y f R i T ú a U ě s b w r ò u E h ě r	ò Y f R a i T ú a U ě s b w r ò u E h ě r
ǒ g u V U j Z W I P n B a f P V G X r I	ǒ g u V U j Z W I P n B a a f P V G X r I
A á U o n j W K Z ǔ ǔ Q A ù h ě è a l w	A á U o n j W K Z ǔ ǔ Q A ù h ě è a l w a
B g H ě v n a ù o T R V e P a r p ǎ m s	a B g H ě v n a ù o T R V e P a r p ǎ m s
D è h O x ù a j f M v z v j g G ú w c ú	D è h O a x ù a j f M v z v j g G ú w c ú
E M q ǔ S C Q v Y ù Z G n J a E K m e A	E M a q ǔ S C Q v Y ù Z G n J a E K m e A
F V x f t B é I K B q a j t C X x ó n e	F V x f t B é I K B q a j t C X x ó a n e
G o M k à Q S r m r p ě b a N u v m W G	G o M k à Q S r m r p ě b a N u v m a W G
I ǒ Z a S R J i H ò G S H k W E v ó M w	I ǒ Z a a R J i H ò G S H k W E v ó M w
J a é n R D h n B C h W K H X ǔ b S t Z	J a é n R D h n a B C h W K H X ǔ b S t Z
K o ǎ z K E o Y d A a N M g E q D F J ù	K o ǎ z K E o Y d A a a N M g E q D F J ù
M F n ǔ é S v U L D o v c j a Q k R u R	M F n ǔ é S v U L D o v c j a a Q k R u R
N T V r L C h c F I X d n H o C o a è I	N T V r L C h c F I X d n H a o C o a è I
O f S A à C G w è A q T s Z ù E z X y a	O f S A à C G w è A q T a Z ù E z X y a
P r t v C n W G è è v a m f ě ú ù r W é	a r t v C n W G è è v a m f ě ú ù r W é
R J k q p L à g ǔ z K p X V j W u a n E	R J k q p L à a g ǔ z K p X V j W u a n E
S f R ǎ C J ú e a l f D x a ò T k W G k	S f R ǎ C J ú e a l D D x a ò T k W G k
U é j u C c b x P l ǎ N a P ě I u U T i	U é j u C c a x P l ǎ N a P ě I u U T i
V R ò S ú a Q ù Z I C C ǒ S d y w k à ě	V R ò S ú a Q ù Z I C C a S d y w k à ě
W y J P a ǔ A F ó q ǔ ǔ l B ò O c f ó I	W y J P a ǔ A F ó q ǔ ǔ l B ò O a c f ó I
Y K u ǒ q w A a d b H p h Z c A m y T d	Y K u ǒ q w A a a d b H p h Z c A m y T d
Z S y B F a r p è ǎ X X o p ǎ X F N I M	Z S y B F a r p è ǎ X X o a ǎ X F N I M
a B P S S g y M ò i é T s e T f W P k m	a B a S S g y M ò i é T s e T f W P k m
a d q B R à z C a x z q M F D l u è W A	a ě q B R à z C a x z q M F D l u è W A
b ǒ à Y Y a l i m B ě l R ù q u X y e E	b ǒ à Y Y a l i m B ě l R ù q a u X y e E
c V m Z p j á ù a H W Y è R J O c j Q s	c V m Z p a j á ù a H W Y è R J O c j Q s
d v F y N B Y L h s K ě F p i y M z W a	d v F y N B Y L h s K a F p i y M z W a
f P H A I ǎ K z r a D ù F O h ě è y i ě	f P H A I a ǎ K z r a D ù F O h ě è y i ě
g c P J a A e a s U l g I z f ǔ ě S ó i	g c P J a A I a s U l g I z f ǔ ě S ó i
h v I à w z t C a X é M S Z N M ù A T ú	a h v I à w z t C a X é M S Z N M ù A T ú
j J e a W J R s Q ǒ ǒ ǒ v K m C R N A L	j J e a W J R s Q ǒ ǒ ǒ a v K m C R N A L
k e a V d F Y r Z i s w Q y e r n y V d	k e a a V d F Y r Z i s w Q y e r n y V d
l r m l K P l V l u ò D é á a l ù Z e A	l r m l K P l V l u a D é á a l ù Z e A
n ù W Z v T R P H J a P o Y r x ò K v q	n a ù W Z v T R P H J a P o Y r x ò K v q
o J d D b n P W a ǒ V T O l k Q D d g R	o J d D b n P W a ǒ V T O l k Q a D d g R
p j j é a X M y é x M U t à A U s r E j	p j j a é a X M y é x M U t à A U s r E j
r D U a é z ǒ f M a k M ě D m b ǔ G C V	r D U a a z ǒ f M a k M ě D m b ǔ G C V
s a i q D E e o s y e ǎ K a ǔ H v W ú r	s a i q D E e o s y e a K a ǔ H v W ú r
t d q a N V Y X j d L J f j t p ù Y q U	t d q a N V a Y X j d L J f j t p ù Y q U
u j n t z a ò ǒ B f G q p g S ǒ p è é V	u j n t z a a ò ǒ B f G q p g S ǒ p è é V
w à Z f a è O y Q ù ě l l q n y L U à y	w à Z f a è O a Q ù ě l l q n y L U à y
x F a J ó r M é M k W r ě b j h l Q b Z	x F a J ó r M é M k a W r ě b j h l Q b Z
y d C v T B a W g x ù é x q F ò z n w J	y d C v a B a W g x ù é x q F ò z n w J
ù ǔ r M q ó m a K M K f a i k d u N s ò é	ù ǔ r M q ó m a K M K J a i k d u N s ò é
ǔ M U p F O v z B V F Y ú a O ǒ m ó f ǒ á	ǔ M a U p F O v z B V F Y ú a O ǒ m ó f ǒ á
á n A ó y a q n N F à V w ò ě e v p r E f	á n A ó a y a q n N F à V w ò ě e v p r E f
ǎ L T Q n j é E g v q i U ó a n é r q u G	ǎ L T Q n j é E a v q i U ó a n é r q u G
é n U j Q B ě R à F U u a W C d n ù M W Y	é n U j Q B ě a R à F U u a W C d n ù M W Y
ě L c b ò P g I M D L K q a ò n ù v R C o	ě L c b ò P g I M D L K q a ò n a v R C o
ó t K q e w ǔ F c ě ú h I g é D a p C é F	ó t K q e w ǔ F c ě ú a h I g é D a p C é F
ǒ A D Q d V W ú F c g M V Y a y g H c e Y	ǒ A D Q d V W ú F c g M V Y a y g a H c e Y
ú P b A q ò X b K A m ǒ a b M ǎ á F ǒ U B	ú P b A q ò X b K A m a a b M ǎ á F ǒ U B
A o è ó l M U T a J w p F à ǒ ǒ J D p t X	A o è ó l M U a T a J w p F à ǒ ǒ J D p t X
C ó x l T O à U ó d Y P ǎ X e ò D l F y a	C ó x l T O à U ó d Y P ǎ X e ò D l F a a
D a ò k è l Q Q h o m T m Y ě d ǔ X o r P	D a ò k è a Q Q h o m T m Y ě d ǔ X o r P
E o q c A h O y b M á F Y ó E w U m F Z a	E o q c A h O y b M á a F Y ó E w U m F Z a
G F m c W L a n z Y k I d X F T N a ǎ ò ǒ	G F m c W L a n z Y k I d a F T N a ǎ ò ǒ
H s B h E D E a q K w ě X F A O h ǒ h J B	H s B h E D E a q K w a X F A O h ǒ h J B
J Y U u V n i B t A F a u ú F c g O V ě Y	J Y U u V n i B t a A F a u ú F c g O V ě Y
K d H R P é j b U a P m v m Z L D Z A H O	K d H R P é j b U a a P m v m Z L D Z A H O
L o f ǎ C a ǎ k o y N V A á N o V P ǔ r o	L o f ǎ C a a ǎ k o y N V A á N o V P ǔ r o
N ě c I a V m G à D z h y t J d p J K R H	N ě c I a V m G à D z h y t a d p J K R H
