grammatical	ungrammatical
ù ù I p Z H I W g è d B y p d Z w q T s	ù ù I p Z H I W g è d B y p d Z g q T s
ǔ T J B c v K g A G C P é M à b m n r J	ǔ T J g c v K g A G C P é M à b m n r J
á j l g ě Y á E N ù K i x s e X ù G ǎ y	á g l g ě Y á E N ù K i x s e X ù G ǎ y
à r ú m á J Z W e A E f R f ǔ A j f M g	à r ú m á J Z W e A g f R f ǔ A j f M g
é à S h g a R i F m K ǒ k D V o R O q r	é à S h g a R i F m K ǒ g D V o R O q r
è U ǎ S g P D J b x f ǔ F Z B H o e F z	è U ǎ S g P D J b x g ǔ F Z B H o e F z
ě w f W H E Z q g Z K X W E X R u l b á	ě w f W H E Z q g Z K X W E X R u g b á
ò G m A F u P ǒ S t J u c w I g R á I r	ò G g A F u P ǒ S t J u c w I g R á I r
ǒ W F i é z à y Q r g é u z j ě x i n H	ǒ W F i é z à y Q r g é u g j ě x i n H
ú m n V ó à m q K W Q F g K ǒ e v p T W	ú m n V ó à m q K W Q F g g K ǒ e v p T W
B N ǎ C U z g k F H Y t U ú z T y j Y E	B N ǎ C U z g k F H Y t U ú g T y j Y E
C c W a I v C I w x W d é z D w z g q X	C c W a I v C I w x W d é z D g w z g q X
D p A o B M V Z t g D ǒ à g k R ù g Z s	D p A o B M V Z t w D ǒ à g k R ù g Z s
F ě I w z f G n è Z v a a p W J ǒ g k ě	g ě I w z f G n è Z v a a p W J ǒ g k ě
G b ò Z g h s y I I z H k Y P à A l y M	G b ò Z g h s y I I z H g k Y P à A l y M
H w m è m z D O é M u t O c S G g V ě B	H w m è m z D O é M u t O c g S G g V ě B
J E M b ǎ K T R M g é á b p r g G g Y à	J E M b ǎ K T R M g é á b p r g G ú Y à
K f a R c S K x O g è é b L s K t y z B	K f a R g c S K x O g è é b L s K t y z B
L x O V w J r v m e o g f r ǔ ě C B h w	L x O g w J r v m e o g f r ǔ ě C B h w
N I G g ú l O y F S á F x n i H a J v j	N I G g ú l O y F S á F x g n i H a J v j
O Z j Z E y A J U ǎ d y y A I g E a B Q	g O Z j Z E y A J U ǎ d y y A I g E a B Q
P t O T n F c D R o m S k y ǒ S I g v h	P t g T n F c D R o m S k y ǒ S I g v h
R è a M ù B U i Q D A Q M W f P E V g è	R è a M ù B g i Q D A Q M W f P E V g è
S Z y I b à l n P z I J g W n n e J ǔ ě	S Z y I b à l n P z I J g W n n e J g ǔ ě
T v é I ù Z ò g é c d H S F f i ě S ǒ è	g T v é I ù Z ò g é c d H S F f i ě S ǒ è
V ě á á a I y y M è m s ó g è à Y Q s p	V ě á g a I y y M è m s ó g è à Y Q s p
W R U H m B g ǔ t w v y j é Y L j G m p	W R U H m B g ǔ t w v y j é Y g j G m p
X g d ǒ n c ù é d E é M Z Y x E l Q ó à	X g d ǒ g c ù é d E é M Z Y x E l Q ó à
Y x R A q ù ó F ǒ x D g a l Y á c H G N	Y x R A q ù g ó F ǒ x D g a l Y á c H G N
a K p ǎ k o S k c s ó I F M ù d g T h Y	a K p ǎ k o S k g c s ó I F M ù d g T h Y
b o m Y j M ǎ à H w e ó X g v B Y H d Q	b o m g j M ǎ à H w e ó X g v B Y H d Q
d F U à Z G K ě R h A ǒ ó a c q g I d x	d F U à Z G K ě R h A ǒ ó a c q g g I d x
e g i T Y w I C n R q J d ò u o C P ǎ C	e g i T Y w I C n R q J g ò u o C P ǎ C
g ǔ n V à W é Q x t I ǎ ú Y q ǔ a è ò L	g ǔ n V à W é Q x g t I ǎ ú Y q ǔ a è ò L
g I T p B n g o g w k S b j Q Y è ǎ á V	g I T p B n g o k w k S b j Q Y è ǎ á V
g i F b Z l p x T a O p w B u M A G ó G	g i F b Z l p x T a O p w g B u M A G ó G
