grammatical	ungrammatical
ù ù O x l A ó k ǒ ó v O b g I V f T ò ě	ù a O x l A ó k ǒ ó v O b g I V f T ò ě
ǔ ú i P X l M c P L G R T T Q b v q o c	ǔ ú i P X l M c P L G R a T Q b v q o c
á W V m p ǎ O O P v Q A z Q M l s ò d S	á W V m p ǎ O O P v d A z Q M l s ò d S
à z y ò D I w Z A á S F m Z d c á O U H	à z y ò D I w Z A á S F m Z d c d O U H
é M a A ě à t O P e o á J M ǒ U Z m n ǎ	é M a A ě à t O P e o á J M ǒ U Z m b n ǎ
è l ò U t è ó Y d s B e à q I L ǒ v F S	è l ò U t è ó Y d s B e à d I L ǒ v F S
ó é u Z m ú O U p c ǒ D é d u m n D ě K	ó é u Z m ú d O U p c ǒ D é d u m n D ě K
ò a ǔ V G x z Y d X a q m F K O c v Q R	d ò a ǔ V G x z Y d X a q m F K O c v Q R
ǒ u B l H T O l ú d N R q g r Y z t z n	ǒ u B l H T O l ú d N R q g d Y z t z n
A F F I ó ú I q ǒ a à è j à ù f d U ǒ V	A F F I ó d I q ǒ a à è j à ù f d U ǒ V
B V d i b V ú n T M G u a ú ú m c Y a i	B V d d i b V ú n T M G u a ú ú m c Y a i
C e U F ò r X K P t S ǎ L á t i Z ú v d	C e U F ò d X K P t S ǎ L á t i Z ú v d
D u j N e R F O W b O T p P à R o ǎ b A	a D u j N e R F O W b O T p P à R o ǎ b A
F F H c U Q I u ù D t S ù a é j ǒ ě V y	F F H c U Q I u ù D t S ù a b é j ǒ ě V y
G h à é m t c Z X s à v W é B b z H C F	G h à é m t c Z a s à v W é B b z H C F
I ǎ q i E f ě é é E e è z B b u ò ó v d	I ǎ q d E f ě é é E e è z B b u ò ó v d
J O h ó ǔ A I N y ó J X B x è n h d A G	J O h ó ǔ A I N y ó J X B d x è n h d A G
K p k ó P k d D ó J b L R U é k J Y B t	d K p k ó P k d D ó J b L R U é k J Y B t
M è U d p v M O f k k s Y k W I B W n A	M è U d p v M O f k d k s Y k W I B W n A
N U I R y ú z j K ǔ V ǔ d M Q r Q D v x	N U d I R y ú z j K ǔ V ǔ d M Q r Q D v x
O b B l y e P G Y U c O g T T é V Z f b	O b B l y e P G Y U a c O g T T é V Z f b
P e s y K à ó J ě i i ù F p F k b ǎ y X	P e s y K à ó J ě i i ù F p a k b ǎ y X
Q p d r M á L á ù ě z è n E ǎ x k b L l	Q p d r M a L á ù ě z è n E ǎ x k b L l
S è h R X Y k g y w K ó ò d E C N p e S	d è h R X Y k g y w K ó ò d E C N p e S
T S Y ě a ǒ P C ǎ ú é ě Z ǎ V J d Q g A	T S Y ě a ǒ b P C ǎ ú é ě Z ǎ V J d Q g A
U l H è l b X ó ǎ s n x L W V t a h ě f	U l H è l b X ó ǎ s n x L W V t a b ě f
W K W à ò s B p F h P U Q N b x f è y V	W K W à ò a s B p F h P U Q N b x f è y V
X b c ò u ǔ B c ǎ S ǔ k t r ǔ b q y o à	a X b c ò u ǔ B c ǎ S ǔ k t r ǔ b q y o à
Z ǎ C y y W o à B D e v s g d p o N z E	Z ǎ C y y W o à B D e v s g d p o N z d
a D O N ǔ B P S r e o ǎ n V ǒ c X R S S	a D O N ǔ B P S r e o ǎ n V b c X R S S
a x v d f w Z a ó i T E ǎ C q E á q Y G	a x v d f w Z a ó i T E ǎ C q d á q Y G
c K q C J L q á á S T g T i E z j b s K	c a K q C J L q á á S T g T i E z j b s K
d G m è F V á Q U k x X Y é u ě ě b á w	d G m d F V á Q U k x X Y é u ě ě b á w
d y o c è M G n f W R T G J M p l Y W t	d y o c è M G n f W d T G J M p l Y W t
f ǒ G q r K P è q W W m t c v g H b f i	f ǒ G q r K P è q W W a m t c v g H b f i
g P d V X ò G B n b J Q S H a A W U o ò	g P d V X ò G B n b J Q S H a A W b o ò
h k i A S E H W f b ǒ d ú F O D ǒ e B é	h k i A S E H W f b ǒ d ú F O D ǒ d e B é
j ù c D c y a h ú K D B C l g ǒ d B l è	j ù c D c y d h ú K D B C l g ǒ d B l è
k R H h ù a N t C g N Z i w z D w D ǒ i	k R H h ù a N t C g N Z i w z D w b D ǒ i
l i p K ě K E ǒ M v d m ě T b t L A O w	l i p K ě K E ǒ M v d m ě T b d t L A O w
n à S N v Q é h M y C o M e v b Q X Y r	n à S N v Q é h M a y C o M e v b Q X Y r
o N é a ǔ K é R c x ó i R C M C á Q Q é	o N é a ǔ K é R c b ó i R C M C á Q Q é
p o H p S ó n d r M K é c H c i z V S o	p o H p S ó n d r M K é c d H c i z V S o
r R f M ě d U s i k x Y ó ò e B C p k o	d r R f M ě d U s i k x Y ó ò e B C p k o
s a V M x h l N R x l l R D i j à i p w	s a V M x h l N R x b l l R D i j à i p w
t i N L ó V Q O d à A X ě Z Q ǎ à B z s	t i N L ó V Q O d d à A X ě Z Q ǎ à B z s
v ǔ q N i l M t f n s b m x à M P x n n	a ǔ q N i l M t f n s b m x à M P x n n
w J u K f D W y J w n d P v D P T K O G	w J u K f D W y d J w n d P v D P T K O G
x T n ě ǔ ù K u t ù d k F p D k z ó ó w	x T n ě ǔ ù K u d ù d k F p D k z ó ó w
y f n w b X ǎ é q a w è S E e u ě O L d	y f n w b X ǎ é q a w d è S E e u ě O L d
ù ù T i B U r F z i p ě h p y b ě t V D g	ù ù T a i B U r F z i p ě h p y b ě t V D g
ǔ P y u I ǎ o L T l a ò T s v g m z h w ě	ǔ P y u I ǎ o L T l a ò T s v g m b h w ě
á p G ǒ u U j Y L C f d B h Q v ó w ě a j	á p G ǒ u d U j Y L C f d B h Q v ó w ě a j
ǎ ǎ ě Y a v ù ò S Q k Q E I V J ě j W ǒ z	ǎ ǎ ě Y a v ù ò S Q k Q E b V J ě j W ǒ z
é C ǎ R á K P b h A a c ǔ N M H f E H u M	é C ǎ R á K P b h A a c ǔ N M H f b E H u M
è ǒ T O H L ù y u ú H L r F N b ǔ à O e V	è ǒ T O H L ù a u ú H L r F N b ǔ à O e V
ě f á X y z ò H X d v j P Z l é L K w m Y	ě f á X y z ò d X d v j P Z l é L K w m Y
ó v a à u P F ù L e s u é ǒ ǎ ò ó z M S c	ó v a à u b P F ù L e s u é ǒ ǎ ò ó z M S c
ǒ O J X d è j L ě I D Q S K q f Z ò A r Z	ǒ O d J X d è j L ě I D Q S K q f Z ò A r Z
