grammatical	ungrammatical
ù ù D N B U r b ě R L c i á X ǒ r u B S	ù ù D N B U r b ě R b L c i á X ǒ r u B S
ǔ N M l p L h ó N H r é E I S Y V s a e	ǔ N M l p L h ó N H r a E I S Y V s a e
á n C u W s E ǒ d à b é M L é z ù k r ù	á n C u W s E ǒ d à b é M L b z ù k r ù
ǎ D B M X o M B ò H T O p a c H á R f i	ǎ D B M X o M B ò H T O p a a H á R f i
é T E S B v X L a G ǎ Q è f P ǔ ò k q t	é a T E S B v X L a G ǎ Q è f P ǔ ò k q t
è t ě h c V Y S y M ǔ b y H f M f L à p	è t ě h c V Y S y M ǔ b y H b f M f L à p
ó C P a r w y ǔ g u à ò z w ě á ě e M x	ó C a P a r w y ǔ g u à ò z w ě á ě e M x
ò H n V P N a x D Q y c E H ù p Z j ǔ f	ò H n V P a N a x D Q y c E H ù p Z j ǔ f
ǒ U c ù H n è O i O B a e M á H H A p ě	ǒ U c ù H n è O i O a a e M á H H A p ě
ú l H C G a R N Q Q Y N i K h T h V t g	ú l H C a a R N Q Q Y N i K h T h V t g
B H è b B W F J ě B E á R A P ǎ p C d W	B H è b B W F J ě B E b á R A P ǎ p C d W
C Z ě k é W f à à u a q f V I u F b t k	C Z ě k é W f à à u a q f V I u F b b t k
D p N M á W I ě Z à ǔ b i ù p F à c g Q	D p N M á W I ě Z à b ǔ b i ù p F à c g Q
F ě ǔ w ǎ h K b Z t c L F ó ù ě k R L i	F ě ǔ w ǎ b K b Z t c L F ó ù ě k R L i
G U x i X a z J m w f ǔ V q x x u ò a x	G U x i X a z J m w n ǔ V q x x u ò a x
H k O X S I m A ǎ L ǎ B o O n T ú a g n	H k O X S I a m A ǎ L ǎ B o O n T ú a g n
J é é h K t ǎ y b t W ǒ ó X D r ò v ǔ ó	J é é h K t ǎ y b t W ǒ ó X D b ò v ǔ ó
K M u B k o o ó S ǎ a Y Q E N Z à T i Z	K M u B k o o ó S ǎ a Y Q E a Z à T i Z
L b o m G G U L G F n W i u U S Y J N f	L b o m G G U L G F n W b i u U S Y J N f
M y F Y z u Q F F o a Q ǎ F G ǒ p A ò ò	M y F Y z u Q F F o a Q ǎ F G ǒ a p A ò ò
O ó è s p o J q N s i ú D a G T ù R ǒ k	O ó è s p o J q N s a ú D a G T ù R ǒ k
P K ě Y K N O ǎ ú ó z s á H a J H ú y A	P K ě Y K N O ǎ ú ó a s á H a J H ú y A
Q O Q D N L B b O q á á d q à w b q ò l	Q O b Q D N L B b O q á á d q à w b q ò l
R i ó S S P y L b P c z C è p Q e X x K	R i ó S S P y L b P b c z C è p Q e X x K
T I M i U M N G p é E t y A ǒ l K K S b	T I M i U M b N G p é E t y A ǒ l K K S b
