grammatical	ungrammatical
ù ù a t ǔ V g a I D Q P z a y á ǔ c v m b	ù ù a t ǔ V a I D Q P z a y á ǔ c v m b
ǔ Q O ǒ T n R T G W H c v a O ú Y a n B a	ǔ Q O ǒ T n R T G W H v a O ú Y a n B a
á a Z s G ě v R a m y á G á Q c ò s ú K	á a Z s G ě v R a m y á G á Q a ò s ú K
ǎ ò ě ǒ E F a Z ú G K ò U l é ú W Q m a	ǎ ò ě ǒ E F a Z ú G K ò U l a ú W Q m a
é P R y l m o á S I W x G ǒ ǎ a b y a a u	é P R y l m o á S I W x G ǒ ǎ a y a a u
è X a a z e ě ó q G ǔ a b y S è x u ó j	è X a a z ó ě ó q G ǔ a b y S è x u ó j
ě q a I A a U d C é F ú ě é A P G a Z p H	ě q a I A a U C é F ú ě é A P G a Z p H
ó v ǎ a à ǔ x O a t c a E ǎ t r ě ǔ q Y w	ó v ǎ a à ǔ x O a t a E ǎ t r ě ǔ q Y w
ǒ O W z J B a a P o T a X H w Q v F r a	ǒ O W z J B a a P o T D X H w Q v F r a
ú H a D a t C S q á J V ú y B w M h ǒ Y	ú a a D a t C S q á J V ú y B w M h ǒ Y
j A p y ǒ R L v a Y n s a é G A R a L M o	A p y ǒ R L v a Y n s a é G A R a L M o
B u P i Y o a a q o H a q Z w l f M R T	B u P R Y o a a q o H a q Z w l f M R T
D P L Z t a E O h ó a j J k u t q G k T	D P L Z t a E O a ó a j J k u t q G k T
E r o U m a m Z Z a U r u M w o v h x K	E r o a m a m Z Z a U r u M w o v h x K
G à ǔ G é E N n B K W F n ó a a á ǎ J M	G à ǔ G a E N n B K W F n ó a a á ǎ J M
H S t H S h Q x a a Y F D I X P ǎ Z H a	H S t H S Y Q x a a Y F D I X P ǎ Z H a
I s H M d W ǒ X a S ě a W r J I a W Z ó	I s H M Z W ǒ X a S ě a W r J I a W Z ó
K à a W u e S a y a v f a X a é B S Q t H	K à a W u S a y a v f a X a é B S Q t H
L C t S a o á z a j c A s G Z d m ǎ U y	L C t S a o á a a j c A s G Z d m ǎ U y
e a r A N a R a B è ù Y á m N u S é t E	M a r A N a R a B è ù Y á m N u S é t E
O à Y A U Z Q r l z r ǎ ě V H O w a é a	O à Y a U Z Q r l z r ǎ ě V H O w a é a
P N a D è a k F G X ǒ s ě y S W q ú o y	P N a a è a k F G X ǒ s ě y S W q ú o y
Q Y n A y a é X m Y Y è I é ǒ s ú ó a J	Q Y n a y a é X m Y Y è I é ǒ s ú ó a J
S ǎ Q N a w ú D w Z S à n K F y a z ǒ S	S ǎ Q N a w ú D w Z S à a K F y a z ǒ S
T J O O j I y P v a a R à w a N y r R d H	T J O O I y P v a a R à w a N y r R d H
U p ǒ v W é ě H a a h I ě a W u f K p U	U p a v W é ě H a a h I ě a W u f K p U
W ò T X u a L o W a U j ó O ǔ b I ú à p	W ò T X u a a o W a U j ó O ǔ b I ú à p
X ó m a t i a ó ù A a T ě L N H z f q x	X ó m a t W a ó ù A a T ě L N H z f q x
Y Z a H V O z I à Y F o m M x O G E a ó	Y Z a H V O z I a Y F o m M x O G E a ó
Z a Z s è U e L a ò a t ǎ Z o x b m y E	Z a Z s è U Q L a ò a t ǎ Z o x b m y E
a à y a n C p H d q E B p N B R a A U i	a à y a n C p H L q E B p N B R a A U i
a ú Z A è a G L N h T s v T y W a M z ě	a ú Z A è a G L N m T s v T y W a M z ě
E G u t M è á G L u ò H a a V K A U Z d	a G u t M è á G L u ò H a a V K A U Z d
F M G ú x z ǒ a ù N ú á B B D K ǔ a ǒ Q	a M G ú x z ǒ a ù N ú á B B D K ǔ a ǒ Q
b a T R Y J à X t x ò A a ó ù q a ò s N Z	a T R Y J à X t x ò A a ó ù q a ò s N Z
k a ǔ V q a h W T a P q v k y é A ù j M	a a ǔ V q a h W T a P q v k y é A ù j M
a k a a l F s ǔ H ò m é o Q w h b N Y ó g	a a a l F s ǔ H ò m é o Q w h b N Y ó g
a p T a ǎ w R E I C H i o P Y B m X E W	a p T a ǎ w a E I C H i o P Y B m X E W
a v Z o s M F L F D a q L J r q à u H Z	a v Z a s M F L F D a q L J r q à u H Z
l W D M a l ò o Y w Q ú a ó b T ú a G X	l W D M a l ò o Y w Q ú a ó ò T ú a G X
m f a A o o è L F H a à ǎ á ě m N á P é	m a a A o o è L F H a à ǎ á ě m N á P é
n z K é F G a l è u a e é W B F ò U N r	n z K é a G a l è u a e é W B F ò U N r
p X H H u ú Z V é D s ǔ a L L Y H w a ó	p X H H u a Z V é D s ǔ a L L Y H w a ó
r C x x ǎ C a A J K ó I u K H a k n K è	r C a x ǎ C a A J K ó I u K H a k n K è
s S W s F Z R a S C q H a ǔ c A A w a i è	s S W s F Z R a S C q H a ǔ A A w a i è
t p Z o J X ò P k ú a a K ǒ à a v ó x X	t p Z o J X ò P ú ú a a K ǒ à a v ó x X
v á ě R ù t a ó x r p w a T é P N p l X	v á ě R ù t a ó x r p w a T é P N p a X
w N V é p G p w z y á G l a t a Z u v V	w N V é p G p w z y á G l a t a a u v V
g a U ù I ú a s l a s J ù c a N x G b K	x a U ù I ú a s l a s J ù c a N x G b K
y y F a A ò a M o ù a ú a ǎ E O T á G F	y y F a A ò w M o ù a ú a ǎ E O T á G F
