grammatical	ungrammatical
ù ù á A u Y p O J ě T ó a f á Z v E ú à	ù ù á A u d p O J ě T ó a f á Z v E ú à
ǔ ò C K A F ó x N J p Y t a x W á N w e	ǔ ò C K A k ó x N J p Y t a x W á N w e
á I á Q ù ǒ M a L f s h U ó á ǒ é p ú P	á I á Q ù ǒ M w L f s h U ó á ǒ é p ú P
à P a O r Q U g v Q a t ǎ e z D k n á k	a P a O r Q U g v Q a t ǎ e z D k n á k
ǎ a P R E ě v j F x h C O F à é v E j v	ǎ z P R E ě v j F x h C O F à é v E j v
è ǎ y è ó T ù Q á W ǎ B s X a é T e s ó	è ǎ y è ó T ù Q á W ǎ B s X p é T e s ó
ě ò ǒ x J U J x w ě n n L S q x é a M l	ě ò ǒ x J U b x w ě n n L S q x é a M l
ó E a t J G p A E M D ó l s G k q B j T	ó E k t J G p A E M D ó l s G k q B j T
ò P y ù Z Z s E T a ǔ D B d ǒ C G Y V ú	ò P y ù Z Z e E T a ǔ D B d ǒ C G Y V ú
ǒ V D ú p Q K O a F W H d L K Y h Q Z i	ǒ V D ú p Q K O a a W H d L K Y h Q Z i
ú l ó G a ě U M R W C c ó o I R é r o è	ú l ó G a ě U a R W C c ó o I R é r o è
A a y C q ǒ i K w L ú i M y C A ǒ R g X	A P y C q ǒ i K w L ú i M y C A ǒ R g X
C ǔ L r M B a M C d O J k p c b D á f x	C ǔ g r M B a M C d O J k p c b D á f x
D á a ǔ w ǒ A i E A b ú Z J Y Y M x V X	k D á a ǔ w ǒ A i E A b ú Z J Y Y M x V X
E G E E è n a P E z d G g d b F P h P F	d G E E è n a P E z d G g d b F P h P F
F O R T á é t x a n D u C Y T p K j I F	F O R T á é t j x a n D u C Y T p K j I F
G P I n Z s w O G u ó P r B ú N é a t á	G P I n Z s w O G u ó P r B ú N é I t á
H a é n w n o l l C ò t C X ú m W G J A	f H a é n w n o l l C ò t C X ú m W G J A
I a N e W ǒ a p D d é C ǎ c á C ǔ i i z	I a N H W ǒ a p D d é C ǎ c á C ǔ i i z
J q m N v z O w ǔ P ó u s a R M g Z c ǒ	J q m N b z O w ǔ P ó u s a R M g Z c ǒ
L ǎ a l ú q i ǎ O a W W ǒ y h P R i K d	L ǎ C l ú q i ǎ O a W W ǒ y h P R i K d
M ó V A U a d v Z V S U w N é é q k j w	M ó V A U B d v Z V S U w N é é q k j w
N H à D P E y a S f p s n P l x J u y f	N H à D P E y A S f p s n P l x J u y f
O Q ù B L ě B E a J d S N l s S E G y u	g O Q ù B L ě B E a J d S N l s S E G y u
P Z n Y è K K n I x a ò S è Z A ě ě ǒ ò	P Z n Y è K K n I x a ò S è Z A ě ě a ò
Q v ó Q H I u è ǒ L a é ǎ I O l E t ǎ ǎ	Q v ó Q H I u h ǒ L a é ǎ I O l E t ǎ ǎ
R y a J ǒ J i q ǎ ě C ó A t F A L b ò g	R y ú J ǒ J i q ǎ ě C ó A t F A L b ò g
T D X D F ù N u B N J N ǔ R y a L E e k	T D X D F ù N u B N J N ǔ h y a L E e k
U B l s é w t à T a W J R F e C Q M f e	U B l i s é w t à T a W J R F e C Q M f e
V L P N X G a s N A J ù A u e N a w E S	V L k N X G a s N A J ù A u e N a w E S
W Z a c i j O S ǎ F n I B ù ú D ù C A C	W Z q c i j O S ǎ F n I B ù ú D ù C A C
X r a n G O b ǎ ǔ Q l X o X ě e O n é w	X i r a n G O b ǎ ǔ Q l X o X ě e O n é w
Y y F u R A è R u ó é S E a V Z n V i G	Y y F u R A è k u ó é S E a V Z n V i G
a á k d F l a O i F z ù z G ú Y q p a ǒ	N á k d F l a O i F z ù z G ú Y q p a ǒ
a F y X g k M g f D c f è ò l R ó T f ò	F y X g k M g f D c f è ò l R ó T f ò
a R á p à O U Z T ǔ L l J q U ǒ K O Z ò	u R á p à O U Z T ǔ L l J q U ǒ K O Z ò
a g h Z B D Q l K g R P e G y V O p e H	v g h Z B D Q l K g R P e G y V O p e H
a y ǔ ǎ s ú S T l v D ǔ N V W B L y k R	i y ǔ ǎ s ú S T l v D ǔ N V W B L y k R
m á a ó P y Q i a R G à z h Y V y à F e	m á a ó P y Q n a R G à z h Y V y à F e
n A G C Q x D è Q Y u X Y a Y ú K W r y	n A G C Q x D è Q Y c X Y a Y ú K W r y
o R B N B n W O X C ǎ Z r H S A Z L a D	o R B N B n W O X C ǎ Z r H S A Z L p D
p m a p f o r á m x d O s D á W T c O F	p m j a p f o r á m x d O s D á W T c O F
q y M F p a I z C m r ù O b à n é h W Z	q i y M F p a I z C m r ù O b à n é h W Z
s D ù o ǎ l H E á E w ú á p J t u a ò K	s D ù o ǎ d H E á E w ú á p J t u a ò K
t F s M a f T Q c X ǎ N a D ǔ V Y s D c	t F s M é f T Q c X ǎ N a D ǔ V Y s D c
u H a p è ǒ g J t d ò ú v U l ò ě x d Q	u H a a p è ǒ g J t d ò ú v U l ò ě x d Q
v R C D r o D W n o W ě T ò a H m D q g	v R C D r o D W n o W f ě T ò a H m D q g
w a ú X F ǔ N g J ó K ǒ J ó j h e Q à G	w ú ú X F ǔ N g J ó K ǒ J ó j h e Q à G
x o è F P q é l P P A p a ò G O ǎ U f ò	x o è F P q e é l P P A p a ò G O ǎ U f ò
y x W U Z s I X x á H w w u A z A G r a	y x W U Z s I X x á H w w u A h z A G r a
ù ù T ù ù à é Y é I l a p k ǒ y C F D n z	ù ù T ù ù g é Y é I l a p k ǒ y C F D n z
ǔ G K L ú U z u w w L a s c K n Q ě Z P R	ǔ G a K L ú U z u w w L a s c K n Q ě Z P R
á N m L Q a f ě ě ǒ y C a r k A á T l è e	á N m L Q a X ě ě ǒ y C a r k A á T l è e
à l J Z E é è s x y a S B P l E h l J M T	à l J Z E é è s x y n S B P l E h l J M T
ǎ q H ú à ǒ K M à a A f j L A ó X R ǔ U à	ǎ q H ú à ǒ K M à t A f j L A ó X R ǔ U à
è ǔ ǒ a Y ǔ ú P N b s m ǔ B S N x U w U u	è ǔ ǒ A Y ǔ ú P N b s m ǔ B S N x U w U u
ě ú m a U i x A a m ò x r à x O p j e ú ú	ě ú m g a U i x A a m ò x r à x O p j e ú ú
ó á J ǒ ǔ R a W x d Z f h p à m r Z P P h	j á J ǒ ǔ R a W x d Z f h p à m r Z P P h
ó z a s n o o Q z ú H g ó r b x X ú m y G	ó z b s n o o Q z ú H g ó r b x X ú m y G
ò x G M ǒ a ě y N H p z N h b C o é V H X	e x G M ǒ a ě y N H p z N h b C o é V H X
ú è a u d B u Z s L G ú F a J o p y d V M	d ú è a u d B u Z s L G ú F a J o p y d V M
A N t a A D b S F N K ù V ù Y E ò O e è Q	A N t L A D b S F N K ù V ù Y E ò O e è Q
B a C K J U V n j k P X H g K y ó m ò Y B	B Y C K J U V n j k P X H g K y ó m ò Y B
C n U X a é w w t D ù r ě J d t j ǒ ǔ I v	C n U X t é w w t D ù r ě J d t j ǒ ǔ I v
D u S A z Z r w á K C O x ò a i F ǒ A U ò	D u i A z Z r w á K C O x ò a i F ǒ A U ò
F ǔ I u A z è B z è B s n L a Q à ǒ r c z	F ǔ I u A z è B z è B s n L é Q à ǒ r c z
G C v Y W E M U ú S O y B O y u p ó a d ǎ	G C v Y d W E M U ú S O y B O y u p ó a d ǎ
H W v v à r a N C r d d z h K r ǔ á G h R	H W v v g à r a N C r d d z h K r ǔ á G h R
I l s V A z x L a ò D i N Z e x J k f G ǎ	I l s g V A z x L a ò D i N Z e x J k f G ǎ
K E w o A o O O z G X S H K H W à a I r ǒ	K E w o A o O O z G X S H K H W i a I r ǒ
L I n D Q m v U ú H ǔ v C t ú u x a g S d	L I n D Q m v U a H ǔ v C t ú u x a g S d
M J F s G n G R á K s I a ù z L q A p w ú	M J F s G n G R á K s k a ù z L q A p w ú
N a ò ě W é o r B é P i U c i f X u G t Z	N T ò ě W é o r B é P i U c i f X u G t Z
O x a L l F M p E V ǔ v è C ě c V z ù à q	O x i a L l F M p E V ǔ v è C ě c V z ù à q
Q C T p ǔ a T U S ò L ó A Y P f ǒ c U r I	Q C T p ǔ C T U S ò L ó A Y P f ǒ c U r I
R X M N G à I ě a P N ó G ò l è S E b b a	R X M N G à I ě P N ó G ò l è S E b b a
S Y w é q O ǎ C I T z s à s z a X ě H E y	S Y w é q d ǎ C I T z s à s z a X ě H E y
T v n z m o S ú y J à Q a T c C E ǔ z w y	T v n z m o S ú y J à Q V T c C E ǔ z w y
V ù w a l r g n A E ǎ I L K E e ǒ c A h R	h ù w a l r g n A E ǎ I L K E e ǒ c A h R
W G F a W B t h à R O e l ú w J u D Y B m	g G F a W B t h à R O e l ú w J u D Y B m
X L V Z P o r x á ě ó ò V I a l f é P q è	X L V Z P o r x á b ó ò V I a l f é P q è
Y P a C J t K Z E y q q M o F ú b á b J x	Y P a C J t K Z E y q q M o h ú b á b J x
Z V u à R K q y a k b R E p J J i q F s T	Z V u à R K q y ò k b R E p J J i q F s T
a ò ǔ I q é Z m k i O G Q ò w K T O r X h	a ò ǔ I q a Z m k i O G Q ò w K T O r X h
a I G L n ǒ p F t r G x i s b F ù ù ú Y A	ǎ I G L n ǒ p F t r G x i s b F ù ù ú Y A
a X k P M m W f w v L m I á d J ù G y ǎ c	X X k P M m W f w v L m I á d J ù G y ǎ c
a n F á ǒ w i T é a é Z e P n ǔ Y v N I u	a n F á ǒ w é T é a é Z e P n ǔ Y v N I u
l ò O ǎ s W M ě à l è n v y C a T b x s b	l ò O ǎ s W M i à l è n v y C a T b x s b
