grammatical	ungrammatical
ù ù á h w n w ǔ g j F à K G F t c ǎ b g	ù ù á h w n a w ǔ g j F à K G F t c ǎ b g
ǔ J u a a ǔ ò ú V x E H k Q O ú à i ó ù	ǔ J u a a ǔ ò ú V x E H k Q O ú à b ó ù
á Y i b R j ó n d l J f è ó h t F è o á	á Y a b R j ó n d l J f è ó h t F è o á
à i z L O O è k a i s B T à T k r P g j	à i z L O O è k a b s B T à T k r P g j
é é ò M b v l T T R á i ú T Q j y G G r	a é é ò M b v l T T R á i ú T Q j y G G r
è E Y ě ǔ ú ó B ú m W W L P D L k s n b	è E Y ě ǔ ú ó B ú m W W L P D L k s a b
ě M G b T ó C x ó F F E à K F ó Y C á M	a ě M G b T ó C x ó F F E à K F ó Y C á M
ó a ù j i t g ó O z G G g Z J s V è F è	ó a ù j i t g ó O z G G g Z J s V b è F è
ò l F f w B E v u b b i I A k ǒ F ě e H	ò l F f w B E a u b b i I A k ǒ F ě e H
ú D F C o q z è á E f ǎ p j c x h t b á	ú D F C o q z è á E f ǎ p j c x h a b á
A j a K l c o e L U h t Y X V ù f G D s	A j a K l c o e L U h t Y X V b f G D s
C è d Z I t V e ǒ u i ǔ a t r V s z q r	C è d Z I t V e ǒ u i ǔ a t b r V s z q r
D L o a ě E R G Z ě g ó ù H N M q á J a	D L o a ě E R G Z ě g ó ù H N M q á J a b
E t I k W l P a s U ó ò V n Y o C V J E	E t I k W l P a s b ó ò V n Y o C V J E
G C ǎ H è l A ǎ f p e J U U k c I b s G	G C ǎ H è l A ǎ f p e J U U k c a b s G
H a I F y ò u y c v á A I h n B D J P f	H a I b y ò u y c v á A I h n B D J P f
I z P K L O C h l a S c ǒ D f R ě ǎ I S	I z P K L O C h l a S c b D f R ě ǎ I S
K ú Y c o S B k n O M a y j l ǒ B è p I	K ú Y c o S B k n O M a y j b l ǒ B è p I
L M O J j b P D C Y x h I Q R ǒ ǔ ǒ z O	a M O J j b P D C Y x h I Q R ǒ ǔ ǒ z O
M X a U K D e ě P M O ǎ K h ó V c R x S	M X a U K b D e ě P M O ǎ K h ó V c R x S
O á c G m A O b M m W U á ǔ à k à ó Q è	a á c G m A O b M m W U á ǔ à k à ó Q è
P F H p c n z c a ě ě L é T q z v á W A	P F H p c n z c a ě ě L é T q b v á W A
Q a R l Z d H k q j ǎ I n C y g ú z P I	Q a R l Z d H k q j ǎ I n C y g ú z P I b
R m C D U v K I g ǎ r t z R X ó ó m R b	R m C D U v K I g a ǎ r t z R X ó ó m R b
T è U u N ú k E à k N V b v b Q X m g C	T è U u N ú k E à k N V a v b Q X m g C
U W á Z H x S o a m Z y ò H h o t i h g	U W á Z H x S o a m Z y ò H h o t i h g b
W ò y D Y s t G C K ù r ó ǔ F ǒ U f A b	W ò y D Y s t G C K ù r ó ǔ F a U f A b
X X X K U ó o D v O h b t w q U à à y y	X X a X K U ó o D v O h b t w q U à à y y
Y t ù U D ú e n h ě S e m D b t E P ě s	Y t ù U D ú a e n h ě S e m D b t E P ě s
a ǔ c K q ú Z k n S S v C L g à J A r i	a ǔ c K q ú Z k n S S b v C L g à J A r i
a M P S Z y R a C D r u J H M D h X ò m	a M P S Z y R a C D r u J H M D h X ò m b
a n M n ǔ Y à ǒ c f g x A k J H ǎ é ù L	a n M n b Y à ǒ c f g x A k J H ǎ é ù L
c F a U y D n B I ó e g T è Z é L h w S	c F a U y D n B I ó e g T è Z é b L h w S
