grammatical	ungrammatical
a ù ù D ǒ O m V è q O ò k S R e Y L ù Z	Q a ù ù D ǒ O m V è q O ò k S R e Y L ù Z
a ǔ I y á i q V ú z g z ù p e j L V ú Q	h ǔ I y á i q V ú z g z ù p e j L V ú Q
a á h H z K e y y z s ù Q è A s d d x c	a á h H z K e y b z s ù Q è A s d d x c
a à y T u v J N s u ǒ c i ú B ǔ à o u B	a à y T u v J N s u ǒ c i ú B ǔ b o u B
a é ú ǔ M ò W M è ǎ T F a ǔ p b U p ě c	I a é ú ǔ M ò W M è ǎ T F a ǔ p b U p ě c
a è V Z A m Q o ú w g A z K p P r x P R	a è V Z A m Q o ú w g b z K p P r x P R
a ě q ǔ ǎ e G ǒ v x N K K G K N ò v o r	N ě q ǔ ǎ e G ǒ v x N K K G K N ò v o r
a ò ó S L A X o g F g q Z J S e á A I R	y a ò ó S L A X o g F g q Z J S e á A I R
a ǒ I j s ò p x Q C à Z P B N q F ǎ V Y	a ǒ I j s ò p x Q C à Z b P B N q F ǎ V Y
a ú i B u é m F F W x ò E s m Y C q A F	f a ú i B u é m F F W x ò E s m Y C q A F
a A t ǒ B T ù m E ě Q N T m l d M c S c	a A t ǒ B T ù m E ě Q N T a m l d M c S c
a C ú G Q p T ě w F w R C R i n G B x W	Y a C ú G Q p T ě w F w R C R i n G B x W
a D M A ǒ H K T P S é H E T M q S L v S	a D M A ǒ H K T P S é H b E T M q S L v S
a E S ǔ z ò V t c p w X z G I d O X M q	d E S ǔ z ò V t c p w X z G I d O X M q
a F r V é Y n y g y à Y ě D E j Z O à r	a F r V é Y n y g y à Y ě D a j Z O à r
a H ě y F ó f G è u S P ǎ V K M N w d ě	a H ě y F ó f G è u S P ǎ V K M a N w d ě
a I Q ó z S ú d P G G J B P K N x h F d	a I Q a z S ú d P G G J B P K N x h F d
a J n s v q p t z E ǎ U R A ó P à ǔ h X	a J n s v q p t z E ǎ U R a ó P à ǔ h X
a L I ǎ J U B F L y ò G L à ǎ L S n F á	a L I ǎ J U B F L y ò G L à ǎ L S n F b á
a M V ú o N e C o P d K é H h P k ǎ p J	a M V ú o N e C o P d K é H h P k ǎ a p J
a N X X y x Z Q ò Z L o J d Q ù p N H g	W a N X X y x Z Q ò Z L o J d Q ù p N H g
a O i ě X h f Y n é G D i t y N e á x f	a O i ě X h f b Y n é G D i t y N e á x f
a Q ù ù K d l x j ě e J ǔ V ú B g é j ù	ù Q ù ù K d l x j ě e J ǔ V ú B g é j ù
a R B Y K o T é ě ù i z ò k j J V t H ú	a R B Y K o T é ě ù i z ò k j J a V t H ú
a S S A é j á v W R H O ě ǎ M w K A h Z	ǔ a S S A é j á v W R H O ě ǎ M w K A h Z
a T r D m ǒ t X t T c ù r w x H B é c ě	a T r D a m ǒ t X t T c ù r w x H B é c ě
