grammatical	ungrammatical
a a a d M A J r s y j D e t r ù d k R P	ù a a a d M A J r s y j D e t r ù d k R P
a a a ò w q ó d W e G j ù z M é q Q l M	ě a a a ò w q ó d W e G j ù z M é q Q l M
a a a r Y N g F I j R h V n G Y ù c p é	B a a a r Y N g F I j R h V n G Y ù c p é
a a a N D ú B R á f e ě T P ě á á o ǔ x	K a a a N D ú B R á f e ě T P ě á á o ǔ x
a a a e K r M ò Q X L ó p G n U P ú i T	T a a a e K r M ò Q X L ó p G n U P ú i T
a a a f L v ǎ h a W Z R I W O i Q y J ě	c a a a f L v ǎ h a W Z R I W O i Q y J ě
a a a h m m r j á T V N Y N o è H ó é l	k a a a h m m r j á T V N Y N o è H ó é l
a a a d o g r ě K C L c c p E I è O à J	s a a a d o g r ě K C L c c p E I è O à J
a a a P Z H D y t u b f ò R G B v a G d	a a P Z H D y t u b f ò R G B v a G d
a a a F ò v ò w l I z X y q P ó ú è w ú	ě a a F ò v ò w l I z X y q P ó ú è w ú
a a a ù f b Q ù i ó T ò H d t e ǒ m ě D	B a a ù f b Q ù i ó T ò H d t e ǒ m ě D
a a a x a T ǎ X i v O g ù á Z P T j q à	J a a x a T ǎ X i v O g ù á Z P T j q à
a a a q j ǎ á a h è T H G a h á M à z a	R a a q j ǎ á a h è T H G a h á M à z a
a a a e C a t s A ú U o B L j à R J z v	X a a e C a t s A ú U o B L j à R J z v
a a a é é V z i A M i M q W K M w f l r	a ǎ a a é é V z i A M i M q W K M w f l r
a a a x c F u W ǎ ó G K D ò Y A J n ǒ ò	a A a a x c F u W ǎ ó G K D ò Y A J n ǒ ò
a a a a J y ǔ ě a ó à h N w u r q E G P	a I a a a J y ǔ ě a ó à h N w u r q E G P
a a a ó K l z G u C k S l i P p ǎ N N T	a O a a ó K l z G u C k S l i P p ǎ N N T
a a a Y h r L ě z E y X ò J X K D y S ě	a V a a Y h r L ě z E y X ò J X K D y S ě
a a a d r b á K h i r C a w D t o z k A	a d a a d r b á K h i r C a w D t o z k A
a a a j á q L p è è B O z w E B k d o y	a k a a j á q L p è è B O z w E B k d o y
a a a t ǎ W X I h t R h p m X F q E c t	a s a a t ǎ W X I h t R h p m X F q E c t
a a a t é ǔ ó a s C V H V h H x ù E a à	a ù a t é ǔ ó a s C V H V h H x ù E a à
a a a h C Q K f r n s w a F t é S ù K g	a ó a h C Q K f r n s w a F t é S ù K g
a a a è z k w ú M z n ǔ V Y ǔ c d I g u	a E a è z k w ú M z n ǔ V Y ǔ c d I g u
a a a A o ù G O ǔ z r N E b j K S X j I	a N a A o ù G O ǔ z r N E b j K S X j I
a a a d B V Z á s D C W M e s é Q F W z	a V a d B V Z á s D C W M e s é Q F W z
a a a à C d n Y g T d R i ò C k k s z A	a a à a à C d n Y g T d R i ò C k k s z A
a a a A ù ò S ě v K s f é e U T w s U x	a a ò a A ù ò S ě v K s f é e U T w s U x
a a a Y i z h k g U b A q d ǔ w M X ǔ Q	a a G a Y i z h k g U b A q d ǔ w M X ǔ Q
a a a k g B X I i n X k X R A à R G J X	a a N a k g B X I i n X k X R A à R G J X
a a a D n t b F ǔ d c é è ù e r c o i J	a a U a D n t b F ǔ d c é è ù e r c o i J
a a a f Z O l é L L n l r M g b p v é I	a a d a f Z O l é L L n l r M g b p v é I
a a a R ǔ q s y q J E ǔ é k e j ě Q E I	a a l a R ǔ q s y q J E ǔ é k e j ě Q E I
a a a w N z ǎ a e é Y J A e j Q r B f ǔ	a a s a w N z ǎ a e é Y J A e j Q r B f ǔ
a a a i s F i ǒ i G L R q L G k x d R j	a a i s F i ǒ i G L R q L G k x d R j
a a a ó i M u k K O c C i z Y x H c L M	a a ě ó i M u k K O c C i z Y x H c L M
a a a t T h m q H C ó u l q h L k T h M	a a C t T h m q H C ó u l q h L k T h M
a a a ú U t R k J X n h d G M ǒ w é E X	a a K ú U t R k J X n h d G M ǒ w é E X
a a a X ú ǔ S O ǔ d Q s H ě X t v X o ǎ	a a R X ú ǔ S O ǔ d Q s H ě X t v X o ǎ
a a a è ù a M O y t D T h W S g B r ò F	a a Z è ù a M O y t D T h W S g B r ò F
a a a S R i M j H l s à Z K Y Y é a f g	a a i S R i M j H l s à Z K Y Y é a f g
a a a J i Y A X c b y d G n L W i F à n	a a p J i Y A X c b y d G n L W i F à n
a a a P h X X T ě h T ò e f m o d r h ù	a a w P h X X T ě h T ò e f m o d r h ù
a a a D v s F K à C C A l r n I V s e p	a e a D v s F K à C C A l r n I V s e p
a a a E l K G E ó ě ó R t n ú B K b d A	a m a E l K G E ó ě ó R t n ú B K b d A
a a a A L ó á V u e g P o b m Q M s y u	a t a A L ó á V u e g P o b m Q M s y u
a a a R g Z o C t c ú v M A j ò t t r l	c a a R g Z o C t c ú v M A j ò t t r l
a a a D x P k J e C y ù Q m Y ú n l N ě	k a a D x P k J e C y ù Q m Y ú n l N ě
a a a N é é R p ó q y v i T á B C G N X	s a a N é é R p ó q y v i T á B C G N X
a a a M ó ǔ h ù m Y M j i x n i u ú ǒ U F	ù a a a M ó ǔ h ù m Y M j i x n i u ú ǒ U F
a a a Z u a è x o ǒ m w è d a I ě g x N e	ě a a a Z u a è x o ǒ m w è d a I ě g x N e
a a a Y i g ù Y i o C K j X p e T X G ù y	E a a a Y i g ù Y i o C K j X p e T X G ù y
a a a o P V à W n V X M b ó s m E a ǒ E n	K a a a o P V à W n V X M b ó s m E a ǒ E n
a a a c u à P ǎ W ò u z h F ǔ è é g Z i l	T a a a c u à P ǎ W ò u z h F ǔ è é g Z i l
a a a P ě A f E à F è V k U g y à f p n O	b a a a P ě A f E à F è V k U g y à f p n O
a a a à ú S ú S ǒ J g U K v ó H q D U ù a	k a a a à ú S ú S ǒ J g U K v ó H q D U ù a
a a a j è z v è y M M B J ú k H D c D P K	s a a a j è z v è y M M B J ú k H D c D P K
a a a ě à g é R J P j d s R I W S ù à U k	z a a a ě à g é R J P j d s R I W S ù à U k
a a a ǔ E ǒ B ǔ ù k ǔ c A c p J P Z A I m	é a a ǔ E ǒ B ǔ ù k ǔ c A c p J P Z A I m
a a a M A ú á V R ǎ i é l D f u g B j S H	B a a M A ú á V R ǎ i é l D f u g B j S H
a a a r R o A q ù K a n ǔ é I e ù ú s é Q	I a a r R o A q ù K a n ǔ é I e ù ú s é Q
a a a m X z h Y d U R M j I D f n i O r à	Q a a m X z h Y d U R M j I D f n i O r à
a a a w d k f S U L ú ó r ǔ f à f U A u Y	X a a w d k f S U L ú ó r ǔ f à f U A u Y
a a a p p ǔ è ù m à N D é ǒ ǒ M E P t Q W	a ǎ a a p p ǔ è ù m à N D é ǒ ǒ M E P t Q W
a a a é J W I J e w N l ò X ú X v b S b ě	a A a a é J W I J e w N l ò X ú X v b S b ě
a a a à f Q l Q ò C ǒ h X p L é U H ù Q z	a I a a à f Q l Q ò C ǒ h X p L é U H ù Q z
a a a J E g d á k g V j X l I x E H q w H	a P a a J E g d á k g V j X l I x E H q w H
a a a R l u E ù o F F g j E K e K F K ě z	a Y a a R l u E ù o F F g j E K e K F K ě z
a a a K v A d b Z M g b B V ò E t V v Y E	a f a a K v A d b Z M g b B V ò E t V v Y E
a a a m K S K w R j C W ó v B z R V o U D	a m a a m K S K w R j C W ó v B z R V o U D
a a a X ǔ è è n x s ò g M Z P Q è T é ǎ m	a t a a X ǔ è è n x s ò g M Z P Q è T é ǎ m
a a a ú à a y è B i N p r ǒ l C q j h H i	a ù a ú à a y è B i N p r ǒ l C q j h H i
a a a Y s u i m a I Q ǔ ó ě X p N Q p c Z	a ó a Y s u i m a I Q ǔ ó ě X p N Q p c Z
a a a ú K Q ǎ W K F t r ò d H é á K z P r	a G a ú K Q ǎ W K F t r ò d H é á K z P r
a a a x ǎ x D G X á M ù a E j m M F I t F	a N a x ǎ x D G X á M ù a E j m M F I t F
a a a u n ǒ c p è o h é m u u m I á i c V	a U a u n ǒ c p è o h é m u u m I á i c V
a a a C R M l i t O Q d R k ú w r q l O h	a a á a C R M l i t O Q d R k ú w r q l O h
a a a N Y r è g ú o y P n m C A e n D T s	a a ò a N Y r è g ú o y P n m C A e n D T s
a a a V h u B e G w a r p é ó I Z g M r C	a a E a V h u B e G w a r p é ó I Z g M r C
a a a U y N t z ǎ V ě K q U w P m r J K I	a a L a U y N t z ǎ V ě K q U w P m r J K I
a a a X h j q W C y Y x r á ǒ á A p j ò N	a a T a X h j q W C y Y x r á ǒ á A p j ò N
a a a ǒ X G O à ù g I p ú I f m S a e Z D	a a b a ǒ X G O à ù g I p ú I f m S a e Z D
a a a r ǎ r u è è A k H t t B H w P N N Y	a a j a r ǎ r u è è A k H t t B H w P N N Y
a a a t A Z T W ò c u ě B r p ǒ k e M L r	a a r a t A Z T W ò c u ě B r p ǒ k e M L r
a a a Z x z y t b b j Q f à V q D Z X F ě	a a x a Z x z y t b b j Q f à V q D Z X F ě
a a a G x v ě q r x L W ě ǒ d à U ò C k K	a a é G x v ě q r x L W ě ǒ d à U ò C k K
a a a F A E d l D q F ǎ w T ú ǒ y k á D q	a a B F A E d l D q F ǎ w T ú ǒ y k á D q
a a a è H t W á ó s b m R á Z M U Q L t Z	a a I è H t W á ó s b m R á Z M U Q L t Z
a a a p p g á T c M G j p z ò j v N L è a	a a O p p g á T c M G j p z ò j v N L è a
a a a S á y x M è W e ǒ J C q e o ó l x I	a a W S á y x M è W e ǒ J C q e o ó l x I
a a a á G Z L E r N d ù b F à X v E á N R	a a f á G Z L E r N d ù b F à X v E á N R
a a a J Y ǔ h Q w á ú M P D A E K O P P A	a a n J Y ǔ h Q w á ú M P D A E K O P P A
a a a l j B H f x I ù Y à à S K Y r q a ǒ	a a u l j B H f x I ù Y à à S K Y r q a ǒ
a a a n ò i x F O E b r I H b ě s j F á a	a d a n ò i x F O E b r I H b ě s j F á a
a a a r W M ù ó D á q A L F é è P d A h ú	a l a r W M ù ó D á q A L F é è P d A h ú
a a a e e x ú h A Z k à S p è c i G è t Q	a t a e e x ú h A Z k à S p è c i G è t Q
a a a x X i u P ó U I K ù O l M é p k H U	c a a x X i u P ó U I K ù O l M é p k H U
a a a á K b j à ò t J ù s C v ù Z w u ě M	j a a á K b j à ò t J ù s C v ù Z w u ě M
a a a v n G k m t P m Z B D Z n x ó y y o	r a a v n G k m t P m Z B D Z n x ó y y o
a a a ǔ e V P Y w i u H z W U S j ě Q V u k	ù a a a ǔ e V P Y w i u H z W U S j ě Q V u k
a a a c q u s g m W N I J W à e H U ǔ t H M	ó a a a c q u s g m W N I J W à e H U ǔ t H M
a a a C d ǔ J D F á ó y m L H r á z j x ó á	E a a a C d ǔ J D F á ó y m L H r á z j x ó á
a a a g b q r ě J P s D E x t ú R P V x d j	M a a a g b q r ě J P s D E x t ú R P V x d j
