grammatical	ungrammatical
ù ù I N a J x y O k r è a a B a M a K o	ù ù I N a J x y O k r è a a B k M a K o
ǔ a M B L q x S à B a ǒ a a Z è p p D ǒ	ǔ a M B L q x S g à B a ǒ a a Z è p p D ǒ
á n n W t w d y a n ǔ a A X G R a ó w a	á n n W t w d y a n ǔ a A X G R a ó w P
ǎ S e s ù è a N G L O l M ú a a v X ǔ a	ǎ S e s ù è a N G L O l M ú f a v X ǔ a
é j à b U a é R é S a v R a I a ě u p ǎ	é j à b U a é i é S a v R a I a ě u p ǎ
ě ě a x a v F a M E á I A D a p Y m u ó	ě ě a x a i F a M E á I A D a p Y m u ó
ó a ò à a ǔ K á à E K a ǎ Y Q R à S S a	ó x ò à a ǔ K á à E K a ǎ Y Q R à S S a
ò z ù ǔ r L T a o H á o E K a r ò a a g	ò z ù ǔ r L T a o H á o E K a r ò a I g
ú Z U H f O O ú F M j E a v a r a a D T	ú Z U H f O O ú F M j E a v a r a à D T
B ò R a u P a a I é a m Q ó R j z j X ù	B ò R a u P a m I é a m Q ó R j z j X ù
C a A a T W a y q t x ǔ T C u J B a h m	C a A a T W a y q t x ǔ T C u J B h a h m
E A é ǔ E c w F W b a Z a ǎ O ù a a á a	E A é ǔ E c w F W b a Z e ǎ O ù a a á a
F g a F u J S a f j a H R K a B a E N R	F g a F u f S a f j a H R K a B a E N R
H ě ǔ N Z a E G a u a P s I ǎ u y a l ǔ	H ě ǔ N Z I E G a u a P s I ǎ u y a l ǔ
I a s ǒ a a è é X a X P ǔ Q ǒ j B Z z á	I a s ǒ a E è é X a X P ǔ Q ǒ j B Z z á
K ě ǒ a a s O X á C a W a j q ò ù A f t	K ě ǒ a r s O X á C a W a j q ò ù A f t
L a R h H á Y c a J Z a à T a I o ù N a	L a R h H á Y c a J Z j à T a I o ù N a
N ú z G è ǒ V X J T C X a a a q a J N V	N ú z G è ǒ V X J T C X a a l q a J N V
O a w D E l L a ò a a I P Q P Z o F y o	O V w D E l L a ò a a I P Q P Z o F y o
Q ǎ R R b N z a s a T U a M J a W z K x	Q ǎ R R b N z a s a T U a M J ù W z K x
R a R I E ù X ǎ z a G ǎ P z ǎ K ú W a a	R a R I E ù h ǎ z a G ǎ P z ǎ K ú W a a
T ò ě s t ǎ k a A á a a a s h o A c d A	T ò ě s t ǎ k a A á a a W s h o A c d A
U g m u a a Q ě t ù a ǔ a O n O à f é P	U g m u a ǔ Q ě t ù a ǔ a O n O à f é P
W I a x X a ǔ a h a E r n C U t ǔ S l a	W I a x X a ǔ a h a E h n C U t ǔ S l a
X a p a ú q è Q a ò O t o à m M t n y a	X a p g a ú q è Q a ò O t o à m M t n y a
Z L n ě a l S a ǒ Q w a ǎ U o a P t ǒ y	Z L n ě U l S a ǒ Q w a ǎ U o a P t ǒ y
a ǎ O J U à á E a J a a C X U r M z u ó	a ǎ O J U à á E a J a á C X U r M z u ó
a ú a ǔ U a l B W R F C N S a j v ǔ A q	a ú a ǔ U a l B W R F C N S r j v ǔ A q
a I Q C ě a ú m P q z o a C a o C q s b	a I Q C ě a ú m P q z o a C S o C q s b
