grammatical	ungrammatical
ù ù f v p b c c c t n n F l ú z O ù F s	ù ù f v p b c c c c t n n F l ú z O ù F s
ǔ C V a j b C m g ù c c c f l o w J R n	ǔ C V a j b C m g ù c c c c l o w J R n
á Z h H z ú ó u L b c c c t M T N ú E V	á Z h H z ú ó u L b c c c c t M T N ú E V
à s b N M ù à G ǎ c R c c w c c O U D j	à s b N M ù à G ǎ c R c c c c c O U D j
é E t ǎ è P L à N O q m G V L t c c c c	é E t ǎ è P L à N O q m b V L t c c c c
è S s ǒ ǎ b c c B c E ě f à Y y h P Y ù	è S s ǒ ǎ b c c c c E ě f à Y y h P Y ù
ě t t w q r x y Q ǎ R c c c c K L A i V	ě t t w q b r x y Q ǎ R c c c c K L A i V
ò H O i b s Y l A à N ù A d M S c c c R	ò H O i b s Y l A à N ù A d M c c c c R
ǒ b S ú S v z c c c ó u à U N B è i ù é	ǒ b S ú S v z c c c c ó u à U N B è i ù é
A è Z b h y N Y M h c c c M I u g v T ò	A è Z b h y N Y M h c c c c M I u g v T ò
B R a J L F H z F b c L H k B r c c c m	B R a J L F H z F b c L H k B r c c c c
C q x ó d i b j Q j j o m y n c c c u e	C q x ó d i b j Q j j o m y n c c c c e
E ó ù V q V t U d D é v c c c c ǎ s m w	E ó ù V q b V t U d D é v c c c c ǎ s m w
F Q X b V Q ù J w c c c T x F h B ě Z ò	F Q X b V Q ù J w c c c c T x F h B ě Z ò
H á m t b c c c V x U L C S è B k n u ò	H á m t b c c c c x U L C S è B k n u ò
I D ǒ b j I X V r g J ó ó ó A c c c y v	I D ǒ b j I X V r g J ó ó ó A c c c c y v
J T ó á Q g ú ǎ à N o r á v c c c c v P	J T ó á Q g ú b ǎ à N o r á v c c c c v P
K q z u t b u Z F r w q g c c c ǒ M é b	K q z u t b u Z F r w q g c c c c ǒ M é b
M L s ǎ q M V O M b S ě t c c c è C h r	M L s ǎ q M V O M b S ě t c c c c è C h r
N y p k i ǒ k Z ǔ q è à n c c c c ù Y d	N b p k i ǒ k Z ǔ q è à n c c c c ù Y d
P O ǒ n ǔ d x D q G X R z v b c c c G A	P O ǒ n ǔ d x D q G X R z v b c c c c A
Q u ǒ b m z B ǔ d Q u p c c c z h Y q D	Q u ǒ b m z B ǔ d Q u p c c c c h Y q D
S D o ó B c h K U b p n c c c I x X U r	S D o ó B c h K U b p n c c c c I x X U r
T c c c c ě l o r D ú m G H h z F b b b	b T c c c c ě l o r D ú m G H h z F b b b
