grammatical	ungrammatical
a ù ù Y d A R L G T N M r Y t a R i á A	d ù ù Y d A R L G T N M r Y t a R i á A
a ǔ Q à ú k V g D Z z A é T ù T ò W A ù	g ǔ Q à ú k V g D Z z A é T ù T ò W A ù
a á L i a P d p E a y à H ě B t ò z O E	x á L i a P d p E a y à H ě B t ò z O E
a à j v v b e ě g o G Q l I F K é é P X	g à j v v b e ě g o G Q l I F K é é P X
a é ǔ X Q m o u u Z O q S Y C ó N ǎ I ó	a a ǔ X Q m o u u Z O q S Y C ó N ǎ I ó
a è O L f Q V N f A L I ò K ǒ v O c ǒ l	j a è O L f Q V N f A L I ò K ǒ v O c ǒ l
a ě m a R ǎ ó T ǔ Q d N Y ò f X z Z E g	ù ě m a R ǎ ó T ǔ Q d N Y ò f X z Z E g
a ó w F x k ó i m á Y H é q w é j K D m	y ó w F x k ó i m á Y H é q w é j K D m
a ǒ A s o s x u t d A N x L ǎ á h n ǎ ó	X ǒ A s o s x u t d A N x L ǎ á h n ǎ ó
a ú V P ě v R Z y ě L h c O ǔ B Y H ú ó	G a ú V P ě v R Z y ě L h c O ǔ B Y H ú ó
a A t è D b t é O w S U i D ě B h h M z	é a A t è D b t é O w S U i D ě B h h M z
a C ǔ N é r a b ò ó M S á S á L x C t ó	I a C ǔ N é r a b ò ó M S á S á L x C t ó
a D á P ě ǎ ú L R m k w e K h O i W o T	á D á P ě ǎ ú L R m k w e K h O i W o T
a E I h o Q ò Z w Z c ǔ ǒ à ǎ Q m ó ǒ z	j a E I h o Q ò Z w Z c ǔ ǒ à ǎ Q m ó ǒ z
a F T ù y è à S T L a H q l ù ú b E j p	G a F T ù y è à S T L a H q l ù ú b E j p
a G k N ú W F P n Z g t i N Y ǔ k k k ù	M G k N ú W F P n Z g t i N Y ǔ k k k ù
a I ǎ ù è h C U u Q l ǒ o v l L P á c s	R a I ǎ ù è h C U u Q l ǒ o v l L P á c s
a J O l ǒ è A é S R b y G J W ǔ G o ǎ N	V J O l ǒ è A é S R b y G J W ǔ G o ǎ N
a K b x d k L ǒ r w u p z è p J h l k ù	P a K b x d k L ǒ r w u p z è p J h l k ù
a M ù m r i M y S q r W s S ó F Y K w d	Y a M ù m r i M y S q r W s S ó F Y K w d
a N A r F ú E b ù j u W R V W R Y P U c	ě a N A r F ú E b ù j u W R V W R Y P U c
a O J Y y o D O V t H D i Y b q m C z U	t a O J Y y o D O V t H D i Y b q m C z U
a P d H ú j o w O r à P M i e A k f ó O	m a P d H ú j o w O r à P M i e A k f ó O
a Q v A p L i ò ú w N G ǎ n n C x M r R	q a Q v A p L i ò ú w N G ǎ n n C x M r R
a S E P ù b u c F è ě z ě o F b M x T Z	k a S E P ù b u c F è ě z ě o F b M x T Z
a T L k ǔ e e Z U x c E t è G M c à ě ù	Q a T L k ǔ e e Z U x c E t è G M c à ě ù
a U c é E à V i g M O a ǔ b o P A y U G	a U c é E à V i g M O a a ǔ b o P A y U G
a V w o f Q H n l v r v G L W z g Y M J	ú a V w o f Q H n l v r v G L W z g Y M J
a X J ò V ǔ ǔ u W à ù v j ǒ s é h Y i e	ú X J ò V ǔ ǔ u W à ù v j ǒ s é h Y i e
a Y T u w ù E t l L a f á ò S z a i m d	V Y T u w ù E t l L a f á ò S z a i m d
a Z i i v d l r C g b l j L g f a C é D	n Z i i v d l r C g b l j L g f a C é D
a b t w E X j Z e C a Q K a E s B r R á	a b t w E X j Z e C a Q a a E s B r R á
a d ú E m B x G p l v N D U R R M O f a	ǎ d ú E m B x G p l v N D U R R M O f a
a e M v ǔ T m h u o s N ǎ z n ú O K L t	A a e M v ǔ T m h u o s N ǎ z n ú O K L t
a f d C é v D E F ù Q F ò è ě d b L Z ǔ	z a f d C é v D E F ù Q F ò è ě d b L Z ǔ
a g x y e s ě l X V r X n h D F g h z l	g a g x y e s ě l X V r X n h D F g h z l
a i ú g E d A ǎ ú m G l Q x è A a I w ǒ	D i ú g E d A ǎ ú m G l Q x è A a I w ǒ
a j F ǒ f J y e ě h O j é K G c E r f V	q j F ǒ f J y e ě h O j é K G c E r f V
a k L G ě r m J g c K ǔ k J O v C L ě n	V k L G ě r m J g c K ǔ k J O v C L ě n
a l f é N v ù m X o C N é p s à T g a P	Z l f é N v ù m X o C N é p s à T g a P
a m t u ú D ù z E a ǒ ó Z v B h E A J F	D m t u ú D ù z E a ǒ ó Z v B h E A J F
a o è l T e k i K z ǔ ò D F G a N G X l	ǎ a o è l T e k i K z ǔ ò D F G a N G X l
a p M A a h Z d E a ǎ p t d ò ǎ V à Y è	f a p M A a h Z d E a ǎ p t d ò ǎ V à Y è
a q e b x l n x t z M ě S N x K o M f ó	T a q e b x l n x t z M ě S N x K o M f ó
a r w m E Y y ú g è z á W z P y h V A à	è r w m E Y y ú g è z á W z P y h V A à
a t H ě ù à i ò N n b P H O R m M k y W	K t H ě ù à i ò N n b P H O R m M k y W
a u V m U y Q E m V q v ǔ d L o ù à á x	Q u V m U y Q E m V q v ǔ d L o ù à á x
a v v ǎ é ó z n L ǒ p ǔ A z C Z C à T U	V a v v ǎ é ó z n L ǒ p ǔ A z C Z C à T U
a x G T k K ó ó C Q g o t à à A ù ǔ a K	é x G T k K ó ó C Q g o t à à A ù ǔ a K
a y j U B S C R y i e K G v F K ò à á J	z a y j U B S C R y i e K G v F K ò à á J
a ù ù ó z h n k H h G è é t à t f o G ǒ d	n a ù ù ó z h n k H h G è é t à t f o G ǒ d
a ǔ H k ù h a ú E x ó T I f o J s Q Z a G	S a ǔ H k ù h a ú E x ó T I f o J s Q Z a G
a á Y I c c W ù C m m ǔ b K H p ò j c K A	r á Y I c c W ù C m m ǔ b K H p ò j c K A
a à v á G x ǔ ǒ ǎ g e s O W á ǒ x ò q á é	x à v á G x ǔ ǒ ǎ g e s O W á ǒ x ò q á é
a é K m M ǎ Y f à i X t é c ǒ m r é ǎ N b	d é K m M ǎ Y f à i X t é c ǒ m r é ǎ N b
a è j C P ù U H d W e E E I W v X C l d N	ǎ a è j C P ù U H d W e E E I W v X C l d N
a ě p n j z W a H X R ǔ Q à C a à Y N n h	ě p n j z W a H X R ǔ Q à C a à Y N n h
a ò à l K o ǎ W P L Y t o Z D è T K b t f	á ò à l K o ǎ W P L Y t o Z D è T K b t f
a ǒ M K a t ǎ i Z è l G V x o z D V u q B	l a ǒ M K a t ǎ i Z è l G V x o z D V u q B
a ú a V Y e E è c v s P p v J h P r O T á	v ú a V Y e E è c v s P p v J h P r O T á
